00-00	RUNAKUNAPAK HAYÑITA WILLAY
00-01	Kawsaypi yuyashpa, kishpiriy, paktakay, allpapachapi kasikllakawsay tiksi kakpimi tukuy runakuna sumak kawsayta charichun nishpa riksin; shinallatak sumaykayta(dignidad), paktapakta hayñita ayllumanta mana pi kichuchunmi riksin.
00-02	Kawsaypi yuyashpa, piñashpa mana riksina, runakunapak hayñita saruy, runapura wañunakuna yuyaymi tukuysami kawsaypi sapiyashka nin. Chaymi tukuysami lIakikunata IIaktakunaman apamushka. Chaymantami runakunaka tukuy IIaktakunapi kaparishpa kishpirishka kawsayta yuyashpa mashkay kallarin; wakcha runakuna, IIakta runakuna, upallalla kawsak runakuna, shitashka runakuna kishpirinata munan. Mashná kay pachapi kawsakkunami kay amsa, ñawsa, milli kawsaymanta lIukshinata munan. Kipaka kishpiy rimayta, yuyayta charina kan.
00-03	Kawsaypi yuyashpa, runakunapak hayñitaka, paypak hayñimi nishpa shuktak kamachi lIikakuna kamashka kachun. Shina waKcha runakuna piñaywan hatarikpi, tikra charikkuna mana wakchakunata hawalla wichkana wasiman pushachun, mana hawalla wañuchichunpash.
00-04	Kawsaypi yuyashpa, lIaktapura mayhanpash mashiyarishpa, alamarishpa kimirishpa alli IIankaykunata tukuy ayllukunaman rurashpa katichun. Shina alli kawsayta tukuykuna runakuna charichun.
00-05	Kawsaypi. yuyashpa, tinkirishka lIaktakuna hatun killkata katishpa runakunapak tiksihayñipi yuyashpa, sumaykayta runata chanishpa, kariwarmipak hayñi paktapakta kachun nishpa kutintak arinishka. Shina runa IIaktakuna allichirichun, paykunapak kawsaypash kishpirishpa kachun. Ama kutintak amsa IIakiman tikrachun nishpami tinkirishka IIaktakunaka kayhayñita arinishka.
00-06	Kawsaypi yuyashpa, tinkirishka lIaktakunapash. paktachinata minkarishpami runa hayñita kamanata arinishka. Shina mamallakta tantanakuykuna . yanapanakushpa, runanakunapak tiksihayñi, kishpiriypash tukuy runakunaman ~ paktachun yanapanka.
00-07	Kawsaypi yuyashpa, hayñi yuyaykuna, kishpirishka yuyay kuna tukuypi tiyachun, shina lIaktakuna arinishka kamachika, tukuysami kawsayta charik runakunaman pampanta paktachun.
00-08	TINKIRISHKA LLAKTAKUNA, HATUN TANTANAKUVTA RURASHPA LLAKTAKUNAMAN RUNAKUNAPAK HAVÑITA WILLAN
00-09	Titikirishka Ilaktakunaka, mamallaktakunapak hatun tantanakuypimi runapak hayñitaka tukuy lIaktakunaman willan. Llaktakunapak yuyay kashkamantaka, shukllashina tukushpa, tukuypak yuyay kan nishpami ñakarishpa pushana kan. Sapallél runakuna, tantarishka runakunapash, kishpiyrinapi punchanta yuyashpami kay hayñitaka paktachina kan. Kay hayñitapash, kishpiyrina yuyaytapash yachachikwasipi, ayllukunapi, tukuy mamallaktapi kamashpami apana kan. Tinkirishka Ilaktakunapash, shuktak mamallaktakunapash runakunapak hayñita. riksishpa paypak lIakta ukupipash paktachinami kan. Chaymi runa hayñipash, kishpiriypash pakarikshina rikurinka. Chaymi alli kawsaykuna tukuypak chayanka.
01-00	1 niki
