00-00	Declaraziun universela dals drets umauns
00-01	considerand cha l’arcugnuschentscha da la dignited da tuot ils members da la famiglia umauna e da lur drets eguels ed inalienabels fuorma il fundamaint da la liberted, da la güstia e da la pêsch sül muond;
00-02	considerand cha las scugnuschentschas ed il spredsch dals drets umauns haun mno ad acts da barbaria chi offendan la conscienza da l’umanited e cha la creaziun d’ün muond, i’l quêl ils umauns haun la liberted da discuorrer e da crajer libers da terror e da misiergia, es gnida proclameda scu aspiraziun suprema da l’umaun;
00-03	considerand cha que es essenziel da proteger ils drets umauns cun ledschas per cha l’umaun nu saja sfurzo d’applicher scu ultim mez la revolta cunter la tirannia e l’oppressiun;
00-04	considerand cha que es essenziel da promouver las relaziuns amicablas traunter las naziuns;
00-05	considerand cha’ls pövels da las Naziuns Unidas haun proclamo danövmaing i’l statüt lur cretta i’ls drets fundamentels da l’umaun, illa dignited ed illa valur da la persuna umauna, ill’egualited dals drets dad hom e duonna, e ch’els s’haun declaros scu decis da favuriser il progress sociel e d’instituir megldras cundiziuns da viver in üna liberted pü vasta;
00-06	considerand cha’ls stedis commembers s’haun oblios da sgürer, in cooperaziun cun l’Organisaziun da las Naziuns Unidas, il respet universel ed effectiv dals drets umauns e da las liberteds fundamentelas;
00-07	considerand ch’üna concepziun cumünaivla da quists drets e da quistas liberteds es d’importanza suprema per accumplir cumplainamaing quist ingaschamaint;
00-08	proclama l’Assamblea generela la preschainta declaraziun universela dals drets umauns scu ideel chi’d es da ragiundscher cumünaivelmaing da tuot ils pövels e da tuot las naziuns, per cha tuot ils umauns e tuot ils organs da la societed hegian adüna preschaint quista Declaraziun, e ch’els as staintan da promouver ill’instrucziun ed ill’educaziun il respet da quists drets e da quistas liberteds e da sgürer a quists cun imsüras progressivas sül plaun naziunel ed internaziunel arcugnuschentscha ed applicaziun universela ed effectiva, taunt traunter las populaziuns dals stedis commembers svess scu eir traunter ils territoris suottamiss a lur giurisdicziun.
01-00	Art. 1:
01-01	Tuot ils umauns naschan libers ed eguels in dignited ed in drets. Els sun dotos cun radschun e conscienza e dessan agir ün invers l’oter in spiert da fraternited.
02-00	Art. 2:
02-01	Mincha persuna po fer valair tuot ils drets e tuot las liberteds proclamos illa Declaraziun preschainta sainza distincziun, particulermaing da razza, da culur, da schlatta, da religiun, d’opiniun politica u otra, d’origin naziunel u sociel, da possess, da naschentscha u d’otras circunstanzas.
02-02	Pünavaunt nu vain fatta üngüna distincziun fundeda sül statüt politic, giuridic u internaziunel dals pajais u dal territori, dal quêl üna persuna deriva, cha quist pajais u territori saja independent, suot tutela, na autonom u suottamiss ad ün’otra limitaziun da suveranited.
03-00	Art. 3:
03-01	Mincha umaun ho il dret da vita, da liberted e da sgürezza da la persuna.
04-00	Art. 4:
04-01	Üngün nu suos-cha gnir tgnieu in sclavitüd u servitüd; la sclavitüd e’l commerzi da sclevs sun scumandos in tuot lur fuormas.
05-00	Art. 5:
05-01	Üngün nu suos-cha gnir suottamiss a la tortura, ne a painas ne a trattamaints crudels, inumauns u degradants.
06-00	Art. 6:
06-01	Mincha umaun ho il dret da gnir arcugnuschieu dapertuot scu persunalited giuridica.
07-00	Art. 7:
07-01	Tuot ils umauns sun eguels avaunt la ledscha ed haun sainza distincziun il dret da protecziun eguela cunter qualunque discriminaziun chi violess la Declaraziun avaunt maun e cunter qualunque provocaziun ad üna tela discriminaziun.
08-00	Art. 8:
08-01	Mincha persuna ho il dret da protecziun leghela avaunt las giurisdicziuns naziunelas cumpetentas cunter acts chi violeschan ils drets fundamentels garantieus illa constituziun u illa ledscha.
09-00	Art. 9:
09-01	Üngün nu suos-cha gnir arresto, miss in fermaunza u exilio arbitrariamaing.
10-00	Art. 10:
10-01	Mincha persuna ho il dret, in egualited cumplaina, cha sieu cas vegna tratto güstamaing e publicamaing d’ün tribunel independent ed imparziel, il quêl decida davart sieus drets e sias obligaziuns u davart la validited da mincha achüsa penela drizzeda cunter ella.
11-00	Art. 11:
11-00	Mincha persuna achüseda d’ün act chastiabel es innozainta fin cha sia cuolpa es cumproveda leghelmaing in ün process public, inua cha tuot las garanzias necessarias per sia defaisa sun gnidas garantidas ad ella.
11-01	Üngün nu vain condemno per acziuns u omissiuns chi, al mumaint ch’ellas sun gnidas commissas, nu valaivan scu act chastiabel tenor il dret naziunel ed internaziunel. Medemmamaing nu suos-cha il chastih esser pü grand cu quel applichabel al mumaint cha l’act chastiabel es gnieu commiss.
12-00	Art. 12:
12-01	Üngün nu suos-cha dvanter l’oget d’intervenziuns arbitraras in sia vita privata, sia famiglia, sieu domicil u sia correspundenza, ne d’attachas cunter sia onur e sia reputaziun. Mincha umaun ho il dret da protecziun leghela cunter telas intervenziuns u telas attachas.
13-00	Art. 13:
13-00	Mincha persuna ho il dret da circuler libramaing e da tscherner sieu domicil a l’intern d’ün stedi.
13-01	Mincha persuna ho il dret da banduner mincha pajais, eir sieu egen, e da turner in sieu pajais.
14-00	Art. 14:
14-00	In cas da persecuziun ho mincha persuna il dret da tschercher asil e da survgnir asil in oters pajais.
