00-00	Declaraziun universala digls dretgs umans
00-01	Considerond tgi la rancunaschientscha dalla dignitad da tot igls members dalla famiglia umana e da lour dretgs eguals ed inalienabels furma igl fundamaint dalla libertad, dalla gisteia e dalla pasch aint igl mond;
00-02	considerond tgi las scunaschientschas ed igl sprez digls dretgs umans on mano ad acts da barbareia tgi offendan la cunsienztga dall’umanitad e tgi la creaziun d’en mond, aint igl qual igls carstgangs on la libertad da discorrer e da creir libers da terror e misergia, è neida proclamada per l’aspiraziun suprema digl carstgang;
00-03	considerond tg’igl è essenzial da proteger igls dretgs umans cun leschas per tg’igl carstgang na seia betg sfurzo d’applitgier scu davos med la revolta cunter la tiranneia e l’oppressiun;
00-04	considerond tg’igl è essenzial da promover las relaziuns amicablas tranter las naziuns;
00-05	considerond tg’igls pievels dallas Naziuns Uneidas on proclamo danovamaintg aint igl statut lour cardientscha aint igls dretgs fundamentals digl carstgang, ainten la dignitad ed ainten la valeta dalla persunga umana, ainten l’egualitad digls dretgs dad om e donna, e tgi els èn sa declaros decis da favorisar igl progress social e d’institueir miglras cundiziuns da veiver ainten ena libertad pi vasta;
00-06	considerond tg’igls stadis commembers èn s’obliias da sierar, an cooperaziun cun l’Organisaziun dallas Naziuns Uneidas, igl respect universal ed effectiv digls dretgs umans e dallas libertads fundamentalas;
00-07	considerond tgi ena concepziun communabla da chests dretgs e da chestas libertads è d’impurtanza suprema per adampleir cumplagnamaintg chest angaschamaint,
00-08	proclamescha l’Assamblea generala la preschainta declaraziun universala digls dretgs umans scu ideal tg’è da contanscher communablamaintg da tot igls pievels e da tot las naziuns, per tgi tot igls carstgangs e tot igls organs dalla societad vegian  adegna preschaint chesta Declaraziun, e sa stentan da promover ainten l’instrucziun ed ainten l’educaziun igl respect da chests dretgs e da chestas libertads e da sierar a chels cun maseiras progressivas sen plang naziunal ed internaziunal rancunaschientscha ed applicaziun universala ed effectiva, tant tranter las populaziuns digls stadis commembers sezs scu tranter igls territoris sottamess a lour giurisdicziun.
01-00	Art. 1:
01-01	Tot igls carstgangs neschan libers ed eguals an dignitad ed an dretgs. Els èn dotos cun raschung e schientscha e duessan ager l’egn vers l’oter an spiert da fraternitad.
02-00	Art. 2:
02-01	Mintga persunga pò far valeir tot igls  dretgs e tot las libertads proclamos ainten la Declaraziun preschainta sainza distincziun, particularmaintg da razza, da calour, da schlattagna, da religiun, d’opiniun politica u otra, d’origen naziunal u social, da possess, da naschientscha u d’otras circumstanzas.
02-02	Pinavant na vignigl fatg nigna distincziun fundada sen igl statut politic, giuridic u internaziunal digls paeis u da territori, digl qual ena persunga dereiva, tgi chest paeis u territori seia independent, sot guideia, nun-autonom u sottamess ad en’otra limitaziun da suveranitad.
03-00	Art. 3:
03-01	Mintga carstgang ò igl dretg da veta, da libertad e da siertad dalla persunga.
04-00	Art. 4:
04-01	Nign na dastga neir tignia an sclavareia u an servitut; la sclavareia ed igl commers da sclavs èn scumandos an tot lour furmas.
05-00	Art. 5:
05-01	Nign na dastga neir sottamess alla tortura, ni a pagnas ni a tractamaints crudevels, inumans u degradonts.
06-00	Art. 6:
06-01	Mintga carstgang ò igl dretg da neir rancunaschia dapertot scu persunalitad giuridica.
07-00	Art. 7:
07-01	Tot igls carstgangs èn eguals davant la lescha ed on sainza distincziun igl dretg da protecziun eguala cunter totta discriminaziun tgi violess la Declaraziun preschainta e cunter totta provocaziun ad ena tala discriminaziun.
08-00	Art. 8:
08-01	Mintga persunga ò igl dretg da protecziun legala davant las giurisdicziuns naziunalas cumpetentas cunter acts tgi violeschan igls  dretgs fundamentals garantias ainten la constituziun u ainten la lescha.
09-00	Art. 9:
09-01	Nign na dastga neir arresto, detignia u exiliia arbitrariamaintg.
10-00	Art. 10:
