00-00	SIAYËKEMACA SIABAI KËOJËNA KAYAYE KUI'NE JËNA, PAIYE KAWESOSE'EPI SIAYE TUTU PAYE JAI TSUTSUPËA OMETËKANA
00-01	Kase'epi de'oye, ko̱ne kui'ne jeoñe payë jaje, sia'we'ña ñase'erepare sa'nawë payë sia'yë'kë maka tutu, kui'ne sioma'ñerepare sia'pai tsëkapë pai'ye.
00-02	Jaje paikëta'a kuasayë ñama'ayepi kui'ne oima'ayepi, pa'iji sia'paire, japi ai jaiye ñese saniwesëji pai pa'ijë kuasaye, kui'ne aijerepa kawesose'pi, jaje pa'ina kokase'e kayë de'oye pa'iye kui'ne de'oye pa'iyë kuasajë sewoye.
00-03	Jaje paise're yure kato ñasikua'irepa kui'ne këkopakua'i pa'iye pa'iji, kua'ye pa'ise'e jeoni paimakata'a pa'iye pa'iji nejo ma'kua'i.
00-04	Jamakata'à ñese de'oyerepa ñese saiyë siwajë kui'ne pa'iyë yekëwe'ña ñasikua'irepa.
00-05	Yekëwe'na yejaña kato de'oyerepa kuasani kuinaoni kanëowesëwë. Toya ja'wana pai tutukëiwa'i paija'ne, de'oyerepa kui'ne iwa'irepa'ë kajë, si'ayëkëmaka ëmëowa'i kui'ne nomiowa'ije koni, tsoe jaje pa'ina jeowesowë ai jai kore, de'oye pa'iyerepare kasikua.
00-06	Iye kuasaye cato sewosikua kadëowesëja'core, oiyerepapi si'aye kuasajë, tsi'sisikua'ija're kawesë ja'ñe, si'aye oiye kui'ne tutukë'yerepa pa'ija'ñe jamakata'a kuade'oye pa'iye pa'iji pal.
00-07	Iye kato kuasase'ea'ë si'aye tutupa'iye, jaje pa'ina iye kato ai de'oyerepa'ë i̱ti ñese saija'ñere kuasajë sewowesëse'ea'ë.
00-08	Tsi'sini jai pai koka kako
00-09	Jëaye kawesoyë yure
00-10	Si'aye pai̱ tutu pa'iye këawesosikua, ikore kato si'a daripëa kui'ne jaiwe'ñaje nesaoye pa'iji, te'owa'imañaje kui'ne kua'me kokaiwe'ñamañaje, ñese saye pa'iji de'oye kajë, jamakata'a si'adaripëa pa'iye pa'iji de'oye kui'ne yeja pa'iye co̱ni këkojë.
00-11	
01-00	Te'o ako këaye.
01-01	Si'apai aide'oyë kua'ye peoye kui'ne siayë'kë maka pa'iye kui'ne tutupaye koni, jaje kuasase'sëtepi kuaju'i'ne peoye ñese saiye pa'iji ko̱kaijë yekë paireje.
02-00	Kayaye ako këaye
02-01	Si'a pai payë tutu kui'ne kua'ye peoye yure ikore ai jëaye kawesosido'ire, jaje pa'ina ñañe peoji yekë paiña'ë kajë, iyeje pa'yere, pai̱, koka, iowa'i pa'iye, kuasaye, pani iyese'e kayepañë kuasia'ye pa'ye, kuri pa'ye, aideo'ye kui'ne kuasi'aye pa'iye.
02-02	Kui'ne yekeje pajakua'ia'ë kaye yeke iwa'i kuasayepi iyea'ë kajë aijaidaripëa sia'we'ñaje panije yeja paiñeje iti paipi kuasajë neñe pa'iji, jai daripëa kaye kato te'owaise're kañeje pa'yea'ë, iwa'ise'e kuasayepi nejë.
03-00	Toasoñe ako këaye.
03-01	Teo'wa'ije payë de'oye tutu pa'iye, kua'ye peoyeje koni, kui'ne këcojë pai̱ pa'iye.
04-00	Kajese'e ako këaye.
04-01	Si'awa'i pa'iye peoji kua'ye jëaye pa'ye kajë, kui'ne kua'ye yo'okuañuñeje peoji, iye kato ësese'ea'ë sia'ye pa'ye.
05-00	Te'jëtë ako këaye.
05-01	Jare si'apai kua'ye yo'okuañoñe tipeoji, të'caye, tseañe, wanijeañe panije ai kuaye pa'ye.
06-00	Te'e jëtë Ëjatupë këako.
06-01	Si'apai payë tutu, sia'we'ña kui'ne ñakuañuñeje pa'iji pai karepase'e pa'iye.
07-00	Ëjatupë kënope.
07-01	Si'apai pa'iyë sia'yë'këmaca kui'ne payë yekua'ia'ë kaye peoye, jaje pa'ina Si'awa'i payë tutu karepaye akëpai̱ kë'ro. Jaje pa'ina mai̱ tutu payepi de'oye pa'iyepa'iji, tsoe ikore kawesosidoipi kokaiji kua'ye kaye peoye pa'ija'ñe.
08-00	Kayaye te'ejëtë ako këaye.
08-01	Si'a pai tutu payë de'oye pa'iyere kuasajë yekëwe'ña sañupe kajë, mai̱ kase'pi kokaijakë kua'ye yo'oma'kuai'ni kajë mai tutu kë'ye paiye, jeje paina maire toyapëpëpi kakorepa pa'ijakë.
09-00	Te'e jëña Ëjatupë peoye këako.
09-01	Jare peoji mal tsea kuañuñe.
10-00	Kaya jëña ako këako.
10-01	Si'a pai payë deoye paiye, si'ayë'këmaka paiye, jamakata'a sia'we'ña asasaoye pa'iji kui'ne oirepayepi kua'ye paise'eje carojaiye pa'iji kui'ne kuañeñe paiji neñañe paiji kuasia'ye pa'ye iti kase'e sa'ñe pa'iye.
11-00	Kayajëña te'o ako këako
11-01	Si'a pai kua'ye yo'o sikua'i payë tutu iwa'i yo'ose'e jayuta'a iti ñati'añe pa'iji do'ikë'ye, i̱ti kase'je paiye, kui'ne kaye paiji sia'we'ña jamaka kase'repa pa'iji tutu pa'ye.
11-02	Si'a pal peoji kua'ye paye painije siokuañuñe ja yuta'a ñati'ama'maka kato, jaje pa'iji tutu pa'ye yekë daripëa paiyeje. Jaje paina peoji maipi caye de'oye nede'waë'ëje pa'yere aijerepa kua'yena saiye peoye.
12-00	Kaya jëñà kayaye ako këaye.
12-01	Mai teowa'i paiye kato peoji kaye kua'maña'ë kajë ñese kaye, mai tsëkapëreje, mai paiwe'ñaje panije ise'e pa'ito peoji kua'aye neñeje peoji i̱pi kuasakë pa'iye. Jaje pa'ina si'a pai̱ payë de'oye pa'iye, jaje paina nejo jeoñe paiji kua'ye paise'e.
13-00	Kaya jëna kayaye te'o kako këaye.
13-01	Si 'a pai̱ payë deoye daoye sia'we'ña kui'neje yeja pëañeje koni.
13-02	Si 'a pai payë tutu kuasi'adaripëa, ipaidaripë, jaje saisikëre ta'a ko'iye pa'iji i mai̱ daripëna.
14-00	Kaya jëña Ëjatupë peoko ako këaye.
14-01	Kue'kua'i pa'ito, sia'pai payë tutu kë'ye payë katiye paiji kuasia'yejaña, jamaka siwajë pa'iye pai'ji i̱ti ku'ase'e.
14-02	Iye pa'ye kato peoji sa'ñe kua'ye neñe, kua'ye payena, panije sa'ñe kayeje peoji yekë jaiwe'ña pai yejaña'ë kajë.
15-00	Kaya jëña yekë jëtë ako këaye.
15-01	Si 'a paije tutu payë pai paiyerepa
15-02	Jare peoji ëseye i pa'iwe'ña yeja akëre, yekeje tipeoji kaye yëkë pa'iñeje paijë'ë kajë.
16-00	Kaya jëña yekë jëtë te'o ako këaye.
16-01	Ëmëowa'i kui'ne nomiowa'i, jayuta'a ëañawëomakapi tsoe payë tutu, kaye peoji kaje paiña'ë, iti pai'ë kajë wejaye, jamaka wejani siwajë pa'iye pa'iji kuineje pa'iji jeokoni de'oye pa'iye itibi jaje pa'ito.
16-02	Iwa'ise'e kuasajë kui'ne ëjëpaija'këpi kuasani wejaye pa'iji.
16-03	Pai̱tsëkapë Kato de'oye paiyere'pa'ë jaje paina ñacairepayë sia'we'ña akë pa'ije.
17-00	Kaya jëña yekë jëtëkayaye ako këaye.
17-01	Si'a pai payë tutu pa'iye yeja, te'iwa'i kui'ne si'apai de'otsëcapëa.
17-02	Jare peoji yë'ë tsekua yeja kajë ëseye.
18-00	Kaya jëña yekë jëtëkayaye te'o ako këaye
18-01	Si'apai payë iwa'ise'e kuasaye, iwa'i paiye, iye Kato pa'iji si'aye nedewaye iti sewoye, kui'ne koka kaye kuasia'ye sia'we'ña paiwe'ñana, panije te'owa'ise'e pa'iwe'ñaje koni, iti ye'yayepi, neñañepi, sewoyepi kui'ne ñasaoyepi, iyepi pa'iji maire de'oye saye.
19-00	Kaya jëña yekë nëkayo beoko ako këaye.
19-01	Te'owa'ije de'oye payë iwa'ise'e kuasaye kui'ne koka kayeje, iyepi tsi'siji kua'ye pa'ije, josa kakuañujë paima'ñe kui'ne japi kawesorepaye pa'iji, yekeje kaye peoji ikoja'a pa'iji kaye, iyese'e kaye paji, kuasi'aye de'oye saija'ñere.
20-00	Jëña-nëkañua
20-01	Si'awa'i te'owaise'e tsi'sini koka kaye payë kuasia'hue'ña.
20-02	Jare peoji kuañeñe yekë tsëkapëna tsioni paiye.
21-00	Jëna-nëkañua - te'o
21-01	Si'a pai payë tsiojaiye mai akërepa kë'ro, ikë'rorepana te'repapi panije yekë paija're koni iti ñakëja're.
21-02	Si'a pai tutupayë si'ayëkëmaka paiye kua'me nedojaye mai paiwe'ña yeja.
21-03	Itidaripëa paikua'i kato payë sia'we'ña akua'i kayere, iye kato kokaiji kaji mai ëjaëwa'irepare mëojë saiyere, iti mëoñe kato neñë yawese're, japi kokaiji de'oye karepayepi mëose'e.
22-00	Jëña-nëkañua kayaye
22-01	Si'a pai, ititsëkapëje paiwa'i payë kadëose'repare kuasi'aye kui'ne jaje pa'ina si'a akëpai kokaiye paiji, ja tutu do'ire kuasajë, jaje pa'ina tsoe kuasase'pi kuri pa'iye, kuasi'aye kui'ne maipaiye, iye kato mai kuasayepi nesaojë paiye paiji sia'yëkë maca pa'yepi .
23-00	Jëña-nëkañua toasoñe
23-01	Si'a pai payë kua'me nedojaiye kuasia'we'ña, iwa'i yëyepi tia'ñe paiji kua'meneñe, jaje paikëreta'a si'ayë'këmaka paipi, jaje paina kua'ju'iñe peoye kua'me newe'ña tra' ni, nejë pai'ye baiji, peokua'i pa'iye peoji.
23-02	Si'a pai payë kui'ne pa'ye tutu, jaje pa'ina kui'ne ja'ñe kua'meneñe ti'añe pa'iji.
23-03	Si'a pai kua'me neñe tutu payë kui'ne ja'ñe pa'yë, jaje pa'ido'irekui'ne ja'ñe kuri neñepa'iji, nede'huase'e pa'ina de'oye mai tsëcapëje deo'ye kuasajë baija'ñe, io paire kañeje paiye, yekebi karasiko pa'ito neti'añe pa'iji.
23-04	Si'a pai payë tutu iwai'pi kuasajë tsi'sini neñe, iwa'i yëyere.
24-00	Jëña-nëkañua Kajese'e
24-01	Si'a pai payë tutu kua pëawajëjë pa'iye, siwajë pa'iye ioja'ye kua'mene' ometëkawë ti̱a'seja'ye kui'ne iye pa'iye kato sa'ñeñe pa'iji.
25-00	Jëña-nëkañua jëtëna
25-01	Si'a pai payë mai paiye kadëose'repare, iye pa'yere, mai pai, jujukaiwe'ña kui'ne de'oye paiye sia'ye, ao̱ aiñe, kaña ju'iye, wë'ña pa'iye, juikua'ire jujukaiye kui'ne kuasia'ye, yeke payë kui'ne pa'ye kua'me newe'ña paiwe'ña peoye, juidawë, do'ima'pai, aipë maña, iyese'e paiyeje pani kuasia'ye iwa'i te'owa'i pa'iñeje pa'ye.
25-02	Kui'neje pa'ye ëtapë këiwa'i kui'ne tsi mana payë tutu de'oye kokaiyere. Si'a tsi wejani aidewasicoa'i panije kua aide'wakua'nusikua'i payë kui'ne pa'i tuture.
26-00	Jëña-nëkañua jëtëna te'o
26-01	Si'apa̱i payë kui'neja'ñe totyaja'o ye'yeye. Toyaja'o ye'yeye kato peoji doiye ja'a ye'yehuëje pa'ye kato. Ja'a ye'yewëoye kato ai kuañeñe paijija'kua. Kui'ne toyaja'o nekaikua'repare kato ai jaiye nesaose'e pa'ijakua, kui'ne aijerepa aye toyaja'o ye' yeye kato' kui'ne paiji sia'waire, io̱ ai do'iko do'ire.
26-02	Toyaja'o ye'yeye kato mai pai de'oyerepa pa'ija'ñea'ë, jaje paina toyaja'o kato itirepa'ë sia'we'ña mai kua'ju'ijë pa'iye, de'oye pa'iyë kajë, paire sa'ñe oijë koka kaye, japi pa'ina mai̱ ñese saiye pa'iji, siwajë.
26-03	Pëkaja'këpi ñani tseañe paiji toyaja'o ye'yeye i mamakëre kokaiyere kuasani.
27-00	Jëña-nëkañua jëtëna kayaye
27-01	Mai aipë ukujë paise'e sia paije payë ukuye mai pa'idaripëakë'ro, siwajë mai tsea'ë kuasajë kui'ne tideo'ye paito tia'ñepa'iji.
