00-00	KURUDZIRO YEKUCHENGETEDZVA KWEKODZERO DZEVANHU PASI POSE
00-01	Sezvo kucherechedza hunhu nekodzero yakayenzana yomunhu wese pasi pose iriyo mviromviro yomutongero uri pachokwadi norunyararo panyika.
00-02	Sezvo kusatevera nekusvora kodzero dzevanhu zvakamboita kuti kuve noutsinye hwakarwadza pfungwa dzevanhu pasi pose, nokuuya kwenyika inevanhu vachafadzwa norusununguko nokutaura zvavanoda zvakapikirwa sezvinangwa zvinodiwa kuvanhu vese vese.
00-03	Sezvo chiri chinhu chinokosha, kana munhu asingazomanikidzirwa kuita somukana wokupedzisira, kupandukira hutongi hwakaipa kana hudzvanyiriri, kuti, kodzero dzevanhu dzichengetedzwe nohutongi hwomutemo.
00-04	Sezvo vanhu vese veMubatanidzwa weNyika, muchisununguko ichi, varatidzazve chitendero chavo mukodzero dzavanhu dzinokosha, uyewo muhunhu nohukoshi homunhu wega wega, munezvekodzero yakayenzana yavanhurume navanhukadzi, zvekare vazvishingisa kukurudzira budiriro mumagariro nokusimudzirwa kohupenyu huri nani murusununguko rwunokosha rwakawedzerwa.
00-05	Sezvo kunzwisisa pamwechete kodzero idzi norusununguko zvichikosha zvakanyanya kuti chisungo chibudirire.
00-06	Saka Nokudaro
00-07	GUNGANO ROMUBATA - NIDZWA WENYIKA DZEPASI POSE
00-08	rinozivisa
00-09	NEZVEKURUDZIRO INO YEKUCHENGETEDZVA KWEKODZERO DZEVANHU PASI POSE sechiratidzo chokubudirira pamwechete kwavanhu vese nemarudzi ese, pedzisire munhu wese nenhengo dzese dzemunyika vavekuchengetedza kurudziro ino, vachishingirira nokudzidzisa uyewo kuita mabasa ekudzidzisa nokukurudzira kuremekedzwa kwekodzero dzino nerusununguko namatanho okubudirira munyika kana pasi pose, kuita kuti kodzero idzi dzicherechedzwe zvakakwana nokuchengetedzwa pasi pose nevanhu vemunyika dzinova nhengo uyewo vanhu vanogara mumatunhu ari pasi penyika idzodzo.
01-00	1. Chisungo cheKutanga
01-01	Vanhu vese vanoberekwa vakasununguka uyewo vakaenzana pahunhu nekodzero dzavo. Vanhu vese vanechipo chokufunga nekuziva chakaipa nechakanaka saka vanofanira kubatana nomweya wohusahwira.
02-00	2. Chisungo cheChipiri
02-01	Munhu wese anofanirwa kuwana kodzero norusununguko samataurirwo azvakaitwa mukurudziro ino, pasina kusarura kupi zvako, kwakaita sekwerudzi rwake, ruvara rwake kana kuti munhurume kana kuti munhukadzi here, mutauro wake, svondo yake, kana kuti mafungiro ake munezvematongerwo enyika kana zvipi zvazvo.
02-02	Zvekare, hapana kusarura kuchaitwa nokuda kwemamiriro munezvematongerwo enyika, mutongero kana kuti mamiriro enyika kana dunhu raanogara muneipi zvayo nyika pasi pose, ingava nyika yakasununguka, nyika iri kufanotongwa, kana nyika isati yawana kuzvitonga kuzere kana chipi zvacho chipingidzo pakuzvitonga.
03-00	3. Chisungo cheChitatu
03-01	Munhu wese anekodzero yokurarama, kuvanerusununguko nokuzvichengetedza iye omene.
04-00	4. Chisungo cheChina
04-01	Hapana munhu achachengetwa muhuranda kana kuitwa semuranda, huranda nekutengeswa kwevanhu neipi zvayo nzira hazvizotenderwi.
05-00	5. Chisungo cheChishanu
05-01	Hapana munhu anofanirwa kurwadziswa kana kuitirwa hutsinye, kubatwa semhuka kana kuitwa zvinoderedza, kana upi zvawo murangiro wakadaro.
06-00	6. Chisungo cheChitanhatu
06-01	Vanhu vese vakayenzana pamberi pomutemo uye vanekodzero, pasina rusarura, yokuchengetedzwa zvakayenzana nomutemo.
07-00	7. Chisungo cheChinomwe
07-01	Munhu wese anekodzero yokuenzanisirwa chichemo chake zvakakwana namatare ari pachokwadi emunyika make apo anenge aitirwa zvinotyora kodzero dzinokosha dzaanopiwa nebumbiro remitemo kana iwo mutemo pachawo. Munhu wese anenzira yekudzivirirwa yakafanana neyavamwe kubva murusarurwo rwose zvarwo runotyora mitemo yekurudziro ino.
08-00	8. Chisungo cheChisere
08-01	Munhu wese anekodzero yekumirirwa nematare kana akatyorerwa kodzero dzake dzaainadzo pasi pebumbiro remitemo kana mitemo pachayo.
09-00	9. Chisungo cheChipfumbamwe
09-01	Hapana munhu achasungwa, kupfigirwa mutorongo kana kudzingwa munyika make zvisiri pamutemo.
10-00	10. Chisungo cheGumi
10-01	Munhu wese anofanirwa kuwana mukana wakaenzana uri pachokwadi wokumira pamberi pedare remhosva rakasununguka, risinadivi rarinorerekera, apo kodzero yake nezvaanotarisirwa kuti aite zvinenge zvichivhenekwa, uyewo kana achinge achipomerwa mhosva ipi zvayo.
11-00	11. Chisungo cheGumi nemwe
11-01	(Chekutanga) Munhu wese anenge apomerwa mhosva iyo ingaita kuti apiwe chirango, anekodzero yokubatwa somunhu asina mhosva kusvikira pawanikwa umbowo hokuti anemhosva, achizobatwa nayo pamberi poruzhinji nedare, apo paanenge apihwa mukana wezvose zvaangade pakuzvimirira.
11-02	(Chechipiri) - Hapana munhu anofanirwa kunzi anemhosva pamutemo wenyika kana mutemo wenyika dzepasi pose, panguva yechiitiko ichocho. Uyewo hapana chirango chakapfurikidza chinofanirwa kutemerwa munhu chisingawirirani nechirango chaikodzera panguva yokuparwa kwemhosva yacho inenge iripadare.
12-00	12. Chisungo cheGumi neMbiri
12-01	Hakuna munhu achafanirwa kuongororwa zvisiripamutemo munezvemagariro ake, zvemhuri yake, musha wake kana matsamba ake, uyewo kushorwa nokuderedzerwa pahunhu, nechimiro chake. Munhu wese anekodzero yokudzivirirwa nemutemo kubva mukuderedzerwa nekutadzikirwa kwakadaro.
13-00	13. Chisungo cheGumi neNhatu
13-01	(Chekutanga) - Munhu wese anekodzero yokuva norusununguko rwokufamba nokugara mukati menyika imwe neimwe.
13-02	(Chechipiri) - Munhu wese anekodzero yokubuda muneipi zvayo nyika, zvichibatanidza nyika yake, uyewo kudzokerazve kunyika yake.
14-00	14. Chisungo cheGumi nena
14-01	(Chekutanga) - Munhu wese anekodzero yokutsvaga nekupiwa pekupotera kunedzimwe nyika kana ari kuvhundutsirwa.
14-02	(Chechipiri) - Iyi kodzero haigone kushandiswa kana asungwa pachokwadi nemhosva dziri pachena kuti hadzisi dzezvematongerwo enyika mushure mokuita mabasa anotyora zvinangwa nemitemo yeMubatanidzwa wenyika dzepasi pose.
15-00	15. Chisungo cheGumi neShanu
15-01	(Chekutanga) - Munhu wese anekodzero yokuva nenyika yaanobva.
15-02	(Chechipiri) - Hapana munhu achashaiswa nyika yake yaanogara kana kurambidzwa kuenda kundogara kuneimwe nyika.
16-00	16. Chisungo cheGumi neNhanhatu
16-01	(Chekutanga) Vanhurume nevanhukadzi vabvezero, vanekodzero yokuroorana nokuumba mhuri, pasina kudziviswa nokuda kwerudzi, nyika yechizvarwa kana svondo yavanopinda. Vanhu ava vanekodzero dzakaenzana munyaya dzezvekuvaka imba, pakuchata nemukuparadzwa kwawo.
16-02	(Chechipiri) - Wanano ichaitwa chete kana paine tenderano yakakwana pakati paavo vanoda kuwanana.
16-03	(Chechitatu) - Mhuri ndiyo musimboti womubatanidzwa unokosha mumusha uye inekodzero yokuchengetedzwa omene.
17-00	17. Chisungo cheGumi neChinomwe
17-01	(Chokutanga) - Munhu wese anekodzero yekuita pfuma ariega kana kuti akabatana nevamwe.
17-02	(Chechipiri) - Hakuna munhu achatorerwa pfuma yake.
18-00	18. Chisungo cheGumi neSere
18-01	Munhu wese anekodzero yorusununguko mupfungwa, mumaonero, nemumanamatiro ake; kodzero iyi inobatanidza rusununguko rwokuchinja svondo kana mafungiro, zvekare kuva norusununguko pachake kana navamwe, pachena kana muchivande, rwokunamata kana rwomumafungiro ake muzvidzidziswa, kuitwa kwazvo, munamatirwo kana mumacherechedzerwo azvo.
19-00	19. Chisungo cheGumi nePfumbamwe
19-01	Munhu wese anekodzero yokuva norusununguko rwemaonero ake pasina kukanganiswa, rwekutsvaga, rwekuudzwa kana rwekuzivisa mashoko nemafungiro neipi zvayo nzira zvisineyi nezvemiganhu yenyika.
20-00	20. Chisungo cheChimakumi maviri
20-01	(Chekutanga) Munhu wese anekodzero yokuva norusununguko rwokusangana nokuvanamwe murunyararo
20-02	(Chechipiri) - Hapana munhu anofanirwa kumanikidzwa kuvenhengo yeripi zvaro bato.
21-00	21. Chisungo cheChimakumi maviri nemwe
21-01	(Chekutanga) - Munhu wese anekodzero yokubatsira mukutongwa kwenyika yake, pachake kana kuburikidza nekuvamiriri vakasarudzwa zviri pachena.
21-02	(Chechipiri) - Munhu wese anekodzero yakaenzana yokushandira hurumende yomunyika yake.
21-03	(Chechitatu) - Zvido zvevanhu ndizvo zvchava musimboti wemasimba okutonganawo hurumende: zvido izvi zvicharatidzwa nguva nenguva nesarudzo iri pachokwadi iyo ichange ichizoitwa nomunhu wese anekodzero yokuvhota, sarudzo iyi ichaitwa vanhu vakasununguka uye zvisina kubiridzira .
22-00	22. Chisungo chechimakumi maviri nembiri
22-01	Munhu wese, senhengo yorudzi, anekodzero yokuwana magariro akanaka, uye anofanirwa kuwana kubva mumushandira pamwe wenyika dzepasi pose zvichitevera marongerwo ohupfumi hwenyika imwe neimwe, hupfumi, magariro nekodzero, dzetsika dzemagariro ake nokuita munhu anova zvaanoda kuva.
23-00	23. Chisungo chechimakumi maviri nenhatu
23-01	(Chekutanga) - Munhu wese anekodzero yokushanda, kusarudza basa raanoda kuita, nekuva nomushandiro wakanaka uyewo nekudzivirirwa kuti asaite rovha.
23-02	(Chechipiri) - Munhu wese, pasina kusarura kupi zvako, anekodzero yokuwana mugove wakaenzana nowomunhu wese anoita basa serake.
23-03	(Chechitatu) - Munhu wese anoshanda anekodzero yokuwana mugove wakanaka zvichiita kuti iye pachake nemhuri yake vawane magariro anokodzera ehunhu uchiwederwa, kana zvichikodzera nedzimwe nzira dzokuchengetedzwa kwemagaririo akanaka.
23-04	(Chechina) - Munhu wese anekodzero yokuumba nokuvanhengo yemasangano anomirira vashandi kuti agone kuchengetedza zvido zvake.
24-00	24. Chisungo chechimakumi maviri nena
24-01	Munhu wese anekodzero yokuzorora nokuzvivaraidza, zvichibatanidza kukamurwa kwenguva yokushanda nokuwana zororo nguva nenguva pabasa achipihwa mugove wakakwana.
25-00	25. Chisungo chechimakumi makumi maviri neshanu
25-01	(Chekutanga) - Munhu wese anekodzero yokuva nemagariro akakwana kuti ave nohutano hwakanaka nokurarama zvakanaka iye pachake nemhuri yake achiwana kudya, zvipfeko, imba, kurapwa nezvose zvinodikanwa pamagariro omunhu nekodzero yokuchengetwa panguva yokushaiwa basa, hurwere, kuremara, kufirwa, kukwegura kana chipi zvacho chipingidzo muupenyu.
25-02	(Chechipiri) - Huzvere kana nguva yohwana hudiki inguva yokubatwa zvakanaka nokubatsirwa. Vana vese, zvisinei kuti vakaberekwa zvakaita sei, vachachengetwa zvakayenzana.
26-00	26. Chisungo chechimakumi maviri nenhanhatu
26-01	(Chekutanga) - Munhu wese anekodzero yokuwana dzidzo iyo ichange iri pachena , zvikuru panguva yehwana hudiki, inova ndiyo nguva yakakosha. Dzidzo panguva iyi ichamanikidzirwa. Dzidzo dzezvemibato yemaoko neyemumahofisi ichaitwa kuti ivepo zvekare, dzidzo iripamusoro ichawanikwa maererano nemagonero emunhu.
26-02	(Chechipiri) - Dzidzo ichanangiswa kusimudzira zvakakwana munhu nokusimbaradza kuremekedzwa kwekodzero dzavanhu uyewo nerusununguko rwavo runokosha. Dzidzo ichakuridzira kunzwisisa, kuregererana nohusahwira pakati penyika, marudzi kana mapoka ezvedzisvondo, uyewo ichatungamidza mabasa emubatanidzwa weNyika dzepasi pose ekuchengetedzwa kwerunyararo.
26-03	(Chechitatu) - Vabereki vanekodzero yokusarudza dzidzo ichapihwa kuvana vavo.
27-00	27. Chisungo chechimakumi maviri nenomwe
27-01	(Chekutanga) - Munhu wese anekodzero yokuteedza akasungunuka tsika dzemunzvimbo maanogara kufadzwa nezvemitambo nokubatidzawo mumabasa ebudiriro.
27-02	(Chechipiri) - Munhu wese anekodzero yokuwana kuchengetedzwa kwemararamiro nezvido zvake zvinobva munezvaanamazvi- kokota, zvemitambo, nemuzvinyorwa izvo anenge akanyora ega.
28-00	28. Chisungo chechimakumi maviri nesere
28-01	Munhu wese anofanirwa kugara muruwa nemunyika umo munozova nokucherechedzwa zvakakwana kwekodzero norusununguko sekutaurwa kwazvakaitwa mukurudziro ino.
29-00	29. Chisungo chechimakumi maviri nepfumbamwe
29-01	(Chekutanga) - Munhu wese ane zvinhu zvaanofanirwa kuita munzvimbo maanogara umo munozoita kuti iye pachake, agone kuzvisimudzira akasununguka pahunhu hwake zvakakwana.
29-02	(Chechipiri)- Achishandisa kodzero dzake norusununguko rwake munhu wese achavanomwero wakatarwa nomutemo chete, ndokunge izvi zvichiitirwa kupa cherechedzo noruremekedzo rwunodiwa kukodzero norusununguko rwunodiwa rwavamwe nokuita zvido zvevanhu.
29-03	(Chechitatu) - Kodzero iyi norusununguko urwu hazvigone kushandiswa nenzira inotyora zvinangwa nedonzvo reMubatanidzwa weNyika dzepasi pose.
30-00	30. Chisungo chechimakumi Matatu
30-01	Hapana chinhu chiri mukurudziro ino chichazotsanangurwa sechinoreva kuti chero ipi zvayo nyika, bato, kana munhu pachake, anekodzero yokuita mabasa kana zviito zvinopwanya ipi zvayo kodzero kana rusununguko zviri mukurudziro ino.
