00-00	HAADAMA RENMUM TAQUN DORONDEN DANTAQIYE DUNA NOXO (1948)
00-01	O ga na a faayi nan ti saran xabiilanun doronde do I taqu tinamto ya na du-kiteye, teleŋontaaxun do jamun gondoman ŋa duna noxo.
00-02	O ga na a faayi nan ti soron taqun turvinbalaaxun do i roxomaxantaaxun yan ña sababu xonintan gollu ñanŋen dunasu maxa. Ken ya ni haadama renmum su ga natene do kiyi kurunba be i ga digaamunu, i ga batiini ti i sago, i xannun laabanto kannu do kori su da.
00-03	O ga na a taayi nan ti haadama tenmun taqun nan siri tangeene ti tanka teleŋonte kuudo a nan maxa fiite katta gollu burn ñanŋen do marandi moxo bure.
00-04	O ga na a faayi nan ti mejanŋaaxun nan siri ñaana jamaanun naxa.
00-05	O ga na a faayi nan ti Duna feddi xooren da sigira xerexerente kini haadama renmum taqu i sigindi kayitin noxo, a doronden do seren xanuye, xawancaaxu yugun do yaxarun naxa.
00-06	O ga na a faayi ti jamaanu ku ga kafim i ga da laayidun raga nan ti i wa sikki do haadama renmun taqun koroosinden batte.
00-07	O ga na a faayi nan ti a su nan siri me-mukku taqun do du kiteyen ga ni ke be.
00-08	Batu xooren
00-09	da haadama renmum taqum doronden dantaqiye duna noxon bagandi kuudo saran xabiibanun su, jamaanun su na ña, ken dinman ŋa, sere su ma kafo na ke danteqiye toqo i kiilu kuudo ti xaranŋunden do arayinde jamaanu na katta soron taqun tangana.
01-00	Tonte fana
01-01	Haadama renme su saareyen ŋa an na du-kitten ña, an nta sere komaaxu, an do soron su yan yekka dorontaaxu do taqu. Haqilen, wa sere su, a do soro kuttu nan siri terene doome kappalengaaxu kanma.
02-00	Tonte 2
02-01	Haadama renme su raawa i taqun su wuttu xo ke danaqiyi kayiti ga da a ko moxo be. Xabiila, fate, yugo ma yaxare, xanne, diina, politikin kaara, ma wariyu tana a ga giri a jamaane, a dingira, a kiteyu, a saareye ma sigira tana, ku su ra nta a kabana i taqun wuttu.
02-02	Po ra nta bakka sere taqu na a saxu a ga giri jamaane be, dingira be ti ken jamaane ni maranden ya, ma a nta i yinme kitte.
03-00	Tonte 3
03-01	Bireye, du-kiteye do an yinme tangarjen wa kappa haadama renmen taqu.
04-00	Tonte 4
04-01	Sere su ra nta ñaana kome, komaaxun do komo gaaganden danbe su kabanton ya ni.
05-00	Tonte 5
05-01	Sere ra nta haadama renme su toorana, na a mamandi kuudo na a roxondi.
06-00	Tonte 6
06-01	Sere su, noqu su raawa i seraaxun bagandini xo killen ga da a riti moxo be.
07-00	Tonte 7
07-01	Killen kaaran ŋa, a su nan yekka, killen na a su tangana moxo baane ke ya. Fo wo fo su do ke dantaqiye ga bogu me wure, soron su nan baana i ga i tangana. Katta ken ŋa moxo be.
08-00	Tonte 8
08-01	Killen ma sariyanun saaxaman ga da taqu beenu kini seren ŋa, i ga ñi a mulla i na fo bagu i ya, sere so raawa deemande muurunu kiitiraanu.
09-00	Tonte 9
09-01	ra nta sere su ragana, na texi kaso ma na a bagandi jamaanen ŋa xafu kanma.
10-00	Tonte 10
10-01	I ga na fo tiifi sere ya, a nan siri i xibaaren dantaqini kiitira be ga nta saafandini, soron su jon ŋa, kiitira ke na a taqun do a waajibinun koyi ma a na ko a ga boxu noqu be.
11-00	Tonte 11
11-00	Golli bure su ga tiifi haadama renme ya, in siri a ragana xo a ga ma fo dabari ma I ga na a kiiti bire be jaman ŋa, fo ga ma bogu a taqun ŋa.
11-01	Toŋen ra nta xenne haadama renme su kanma selli gollu ku dabari dinma jamaane ma jaman falle sariyan ga ma golli bure wari a yi. Fo ra nta kappa killen ga da toŋe be ko.
12-00	Tonte 12
12-01	Sere su ra nta roono, fo koono an funen bire moxo, a kore, a kan xibaare ma na a bataaxun xara selli a ga ma an ñamari, a ra nta a roxondini xadi. Sariyan nan siri sere su tangana katta kun baqe, ken xa wa kappa sere su taqu.
13-00	Tonte 13
13-00	Sere su raawa terene moxo be gan liŋo a dan ŋa jamaanen noxon ŋa, a raawa i kan sigindini noqu be i ga a mulla.
13-01	Sere su raawa bakka jamaane, xari a yinme jamaane, a raawa yillene katta i jamaane.
14-00	Tonte 14
14-00	I ga da sere su bitta, a raawa telle moole jamaane tana.
14-01	Ke taqe ra nta a kisini selli a ga da golli buren ya ña, selli a ga da golle dabari a do Duna Feddi xooren sariyan ga bogu me wure.
15-00	Tonte 15
15-00	Sere su nan siri kappa jamaane soron ŋa.
15-01	I ra nta sere su bakka jamaanen soron ŋa a ga ma soxu fo wo fo su kanma, i ra nta kabana dubakka jamaane soron ŋa katta jamaane tana.
16-00	Tonte 16
