00-00	ОПШТА ДЕКЛАРАЦИЈА О ПРАВИМА ЧОВЕКА
00-01	Пошто је признавање урођеног достојанства и једнаких и неотуђивих права свих чланова људске породице темељ слободе, правде и мира у свету;
00-02	пошто је непоштовање и презирање права човека водило варварским поступцима, који су вређали савест човечанства, и пошто је стварање света у којем ће људска бића уживати слободу говора и веровања и бити слободна од страха и немаштине проглашено као највиша тежња сваког човека;
00-03	пошто је битно да права човека буду заштићена правним системом како човек не би био приморан да као крајњем излазу прибегне побуни против тираније и угњетавања;
00-04	пошто је битно да се подстиче развој пријатељских односа међу народима;
00-05	пошто су народи Уједињених нација у Повељи поново прогласили своју веру у основна права човека, у достојанство и вредност човекове личности и равноправност мушкараца и жена и пошто су одлучили да подстичу друштвени напредак и побољшају животни стандард у већој слободи;
00-06	пошто су се државе чланице обавезале да у сарадњи с Уједињеним нацијама обезбеде опште поштовање и примену људских права и основних слобода;
00-07	пошто је опште схватање ових права и слобода од највеће важности за пуно остварење ове обавезе,
00-08	ГЕНЕРАЛНА СКУПШТИНА ПРОГЛАШАВА
00-09	ОВУ ОПШТУ ДЕКЛАРАЦИЈУ О ПРАВИМА ЧОВЕКА као заједнички домет који треба да постигну сви народи и све нације да би сваки појединац и сваки орган друштва, имајући ову Декларацију стално на уму, тежио да учењем и васпитавањем допринесе поштовању ових права и слобода да би се поступним унутрашњим и међународним мерама обезбедило њихово опште и стварно признање и поштовање како међу народима самих држава чланица, тако и међу народима оних територија које су под њиховом управом.
01-00	Члан 1.
01-01	Сва људска бића рађају се слободна и једнака у достојанству и правима. Она су обдарена разумом и свешћу и треба једни према другима да поступају у духу братства.
02-00	Члан 2.
02-01	Сваком припадају сва права и слободе проглашене у овој Декларацији без икаквих разлика у погледу расе, боје, пола, језика, вероисповести, политичког или другог мишљења, националног или друштвеног порекла, имовине, рођења или других околности.
02-02	Даље, неће се правити никаква разлика на основу политичког, правног или међународног статуса земље или територије којој неко лице припада, било да је она независна, под старатељством, несамоуправна, или да јој је сувереност на ма који други начин ограничена.
03-00	Члан 3.
03-01	Свако има право на живот, слободу и безбедност личности.
04-00	Члан 4.
04-01	Нико се не сме држати у ропству или потчињености: ропство и трговина робљем забрањени су у свим облицима.
05-00	Члан 5.
05-01	Нико не сме бити подвргнут мучењу или свирепом, нечовечном или понижавајућем поступку или казни.
06-00	Члан 6.
06-01	Свако има право да свуда буде признат као правни субјект.
07-00	Члан 7.
07-01	Сви су пред законом једнаки и имају право без икакве разлике на подједнаку законску заштиту. Сви имају право на једнаку заштиту против било какве дискриминације којом се крши ова Декларација и против сваког подстицања на овакву дискриминацију.
08-00	Члан 8.
08-01	Свако има право да га надлежни национални судови ефикасно штите од дела кршења основних права која су му призната уставом или законом.
09-00	Члан 9.
09-01	Нико не сме бити произвољно ухапшен, притворен, нити протеран.
10-00	Члан 10.
10-01	Свако има потпуно једнако право на правично јавно суђење пред независним и непристрасним судом који ће одлучити о његовим правима и обавезама, и о основаности сваке кривичне оптужбе против њега.
11-00	Члан 11.
11-01	Свако ко је оптужен за кривично дело има право да буде сматран невиним док се на основу закона кривица не докаже на јавном суђењу на којем су му обезбеђене све гарантије потребне за његову одбрану.
11-02	Нико не сме бити осуђен за дела или пропусте који нису представљали кривично дело по националном или међународном праву у време када су извршени. Исто тако не сме се изрицати тежа казна од оне која се могла применити у време када је кривично дело извршено.
12-00	Члан 12.
12-01	Нико не сме бити изложен произвољном мешању у приватни живот, породицу, стан или преписку, нити нападима на част и углед. Свако има право на законску заштиту против оваквог мешања или напада.
13-00	Члан 13.
13-01	Свако има право на слободу кретања и избора становања у границама поједине државе.
13-02	Свако има право да напусти било коју земљу, укључујући властиту, и да се врати у своју земљу.
14-00	Члан 14.
14-01	Свако има право да тражи и ужива у другим земљама уточиште од прогањања.
14-02	На ово право се нико не може позвати у случају гоњења за кривична дела која нису политичког карактера или прогона због дела која су у супротности са циљевима и начелима Уједињених нација.
15-00	Члан 15.
15-01	Свако има право на држављанство.
15-02	Нико не сме самовољно бити лишен свог држављанства нити права да промени држављанство.
16-00	Члан 16.
16-01	Пунолетни мушкарци и жене, без икаквих ограничења у погледу расе, држављанства или вере, имају право да склопе брак и да оснују породицу. Они су равноправни приликом склапања брака, за време његовог трајања и приликом његовог развода.
16-02	Брак се закључује само слободним и потпуним пристанком лица која ступају у брак.
16-03	Породица је природна и основна ћелија друштва и има право на заштиту друштва и државе.
17-00	Члан 17.
17-01	Свако има право да поседује имовину, сам као и у заједници с другима.
17-02	Нико не сме бити самовољно лишен имовине.
18-00	Члан 18.
18-01	Свако има право на слободу мисли, савести и вере; ово право укључује слободу промене вере или убеђења и слободу да човек, било сам или у заједници с другима, јавно или приватно, упражњава своју веру или убеђење путем наставе, вршења култа и обављања обреда.
19-00	Члан 19.
19-01	Свако има право на слободу мишљења и изражавања, што обухвата и право да не буде узнемираван због свог мишљења, као и право да тражи, прима и шири обавештења и идеје било којим средствима и без обзира на границе.
20-00	Члан 20.
20-01	Свако има право на слободу мирног окупљања и удруживања.
20-02	Нико не може бити приморан да припада неком удружењу.
21-00	Члан 21.
21-01	Свако има право да учествује у управљању својом земљом, непосредно или преко слободно изабраних представника.
21-02	Свако има право да на равноправној основи ступа у јавну службу у својој земљи.
21-03	Воља народа је основа државне власти; ова воља треба да се изражава на повременим и слободним изборима, који ће се спроводити општим и једнаким правом гласа, тајним гласањем или одговарајућим поступком којим се обезбеђује слобода гласања.
22-00	Члан 22.
22-01	Свако, као члан друштва, има право на социјално осигурање и право да остварује привредна, друштвена и културна права неопходна за своје достојанство и за слободан развој своје личности, уз помоћ државе и међународне сарадње, а у складу с организацијом и средствима сваке државе.
23-00	Члан 23.
23-01	Свако има право на рад, на слободан избор запослења, на правичне и задовољавајуће услове рада и на заштиту од незапослености.
23-02	Свако, без икакве разлике, има право на једнаку плату за једнаки рад.
23-03	Свако ко ради има право на праведну и задовољавајућу накнаду која њему и његовој породици обезбеђује егзистенцију која одговара људском достојанству и која ће, ако буде потребно, бити употпуњена другим средствима социјалне заштите.
23-04	Свако има право да образује и да ступи у синдикате ради заштите својих интереса.
24-00	Члан 24.
24-01	Свако има право на одмор и разоноду, укључујући разумно ограничење радног времена и повремени плаћени одмор.
25-00	Члан 25.
25-01	Свако има право на животни стандард који обезбеђује здравље и благостање, његово и његове породице, укључујући храну, одећу, стан и лекарску негу и потребне социјалне службе, као и право на осигурање у случају незапослености, болести, инвалидности, удовиштва, старости, или других случајева губљења средстава за издржавање услед околности независних од његове воље.
25-02	Мајке и деца имају право на нарочито старање и помоћ. Сва деца, рођена у браку или ван њега, уживају једнаку социјалну заштиту.
26-00	Члан 26.
26-01	Свако има право на школовање. Школовање треба да буде бесплатно бар у основним и нижим школама. Основна настава је обавезна. Техничка и стручна настава треба да буде опште доступна, а виша настава треба да буде свима подједнако приступачна на основу утврђених критеријума.
26-02	Школовање треба да буде усмерено пуном развоју људске личности и јачању поштовања људских права и основних слобода. Оно треба да унапређује разумевање, трпељивост и пријатељство међу свим народима, расним и верским групацијама, као и делатност Уједињених нација за одржавање мира.
26-03	Родитељи имају првенствено право да бирају врсту школовања за своју децу.
27-00	Члан 27.
27-01	Свако има право да слободно учествује у културном животу заједнице, да ужива у уметности и да учествује у научном напретку и у добробити која отуда проистиче.
27-02	Свако има право на заштиту моралних и материјалних интереса који проистичу из било ког научног, књижевног или уметничког дела чији је он творац.
28-00	Члан 28.
28-01	Свако има право на друштвени и међународни поредак у којем права и слободе објављени у овој Декларацији могу бити потпуно остварени.
29-00	Члан 29.
29-01	Свако има дужност према заједници која једина омогућава слободно и пуно развијање његове личности.
29-02	У вршењу својих права и остваривању слобода свако може бити подвргнут само оним ограничењима која су предвиђена законом у циљу обезбеђења нужног признања и поштовања права и слобода других и у циљу задовољења правичних захтева морала, јавног поретка и општег благостања у демократском друштву.
29-03	Ова права и слободе ни у ком случају не могу се извршавати противно циљевима и начелима Уједињених нација.
30-00	Члан 30.
30-01	Ниједна одредба ове Декларације не може се тумачити као право за ма коју државу, групу или лице да предузима било коју активност или да врши било какву радњу усмерену на поништење права и слобода који су у њој садржани.
