00-00	OPŠTA DEKLARACIJA O PRAVIMA ČOVEKA
00-01	Pošto je priznavanje urođenog dostojanstva i jednakih i neotuđivih prava svih članova ljudske porodice temelj slobode, pravde i mira u svetu;
00-02	pošto je nepoštovanje i preziranje prava čoveka vodilo varvarskim postupcima, koji su vređali savest čovečanstva, i pošto je stvaranje sveta u kojem će ljudska bića uživati slobodu govora i verovanja i biti slobodna od straha i nemaštine proglašeno kao najviša težnja svakog čoveka;
00-03	pošto je bitno da prava čoveka budu zaštićena pravnim sistemom kako čovek ne bi bio primoran da kao krajnjem izlazu pribegne pobuni protiv tiranije i ugnjetavanja;
00-04	pošto je bitno da se podstiče razvoj prijateljskih odnosa među narodima;
00-05	pošto su narodi Ujedinjenih nacija u Povelji ponovo proglasili svoju veru u osnovna prava čoveka, u dostojanstvo i vrednost čovekove ličnosti i ravnopravnost muškaraca i žena i pošto su odlučili da podstiču društveni napredak i poboljšaju životni standard u većoj slobodi;
00-06	pošto su se države članice obavezale da u saradnji s Ujedinjenim nacijama obezbede opšte poštovanje i primenu ljudskih prava i osnovnih sloboda;
00-07	pošto je opšte shvatanje ovih prava i sloboda od najveće važnosti za puno ostvarenje ove obaveze,
00-08	GENERALNA SKUPŠTINA PROGLAŠAVA
00-09	OVU OPŠTU DEKLARACIJU O PRAVIMA ČOVEKA kao zajednički domet koji treba da postignu svi narodi i sve nacije da bi svaki pojedinac i svaki organ društva, imajući ovu Deklaraciju stalno na umu, težio da učenjem i vaspitavanjem doprinese poštovanju ovih prava i sloboda da bi se postupnim unutrašnjim i međunarodnim merama obezbedilo njihovo opšte i stvarno priznanje i poštovanje kako među narodima samih država članica, tako i među narodima onih teritorija koje su pod njihovom upravom.
01-00	Član 1.
01-01	Sva ljudska bića rađaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i svešću i treba jedni prema drugima da postupaju u duhu bratstva.
02-00	Član 2.
02-01	Svakom pripadaju sva prava i slobode proglašene u ovoj Deklaraciji bez ikakvih razlika u pogledu rase, boje, pola, jezika, veroispovesti, političkog ili drugog mišljenja, nacionalnog ili društvenog porekla, imovine, rođenja ili drugih okolnosti.
02-02	Dalje, neće se praviti nikakva razlika na osnovu političkog, pravnog ili međunarodnog statusa zemlje ili teritorije kojoj neko lice pripada, bilo da je ona nezavisna, pod starateljstvom, nesamoupravna, ili da joj je suverenost na ma koji drugi način ograničena.
03-00	Član 3.
03-01	Svako ima pravo na život, slobodu i bezbednost ličnosti.
04-00	Član 4.
04-01	Niko se ne sme držati u ropstvu ili potčinjenosti: ropstvo i trgovina robljem zabranjeni su u svim oblicima.
05-00	Član 5.
05-01	Niko ne sme biti podvrgnut mučenju ili svirepom, nečovečnom ili ponižavajućem postupku ili kazni.
06-00	Član 6.
06-01	Svako ima pravo da svuda bude priznat kao pravni subjekt.
07-00	Član 7.
07-01	Svi su pred zakonom jednaki i imaju pravo bez ikakve razlike na podjednaku zakonsku zaštitu. Svi imaju pravo na jednaku zaštitu protiv bilo kakve diskriminacije kojom se krši ova Deklaracija i protiv svakog podsticanja na ovakvu diskriminaciju.
08-00	Član 8.
08-01	Svako ima pravo da ga nadležni nacionalni sudovi efikasno štite od dela kršenja osnovnih prava koja su mu priznata ustavom ili zakonom.
09-00	Član 9.
09-01	Niko ne sme biti proizvoljno uhapšen, pritvoren, niti proteran.
10-00	Član 10.
10-01	Svako ima potpuno jednako pravo na pravično javno suđenje pred nezavisnim i nepristrasnim sudom koji će odlučiti o njegovim pravima i obavezama, i o osnovanosti svake krivične optužbe protiv njega.
11-00	Član 11.
11-01	Svako ko je optužen za krivično delo ima pravo da bude smatran nevinim dok se na osnovu zakona krivica ne dokaže na javnom suđenju na kojem su mu obezbeđene sve garantije potrebne za njegovu odbranu.
11-02	Niko ne sme biti osuđen za dela ili propuste koji nisu predstavljali krivično delo po nacionalnom ili međunarodnom pravu u vreme kada su izvršeni. Isto tako ne sme se izricati teža kazna od one koja se mogla primeniti u vreme kada je krivično delo izvršeno.
12-00	Član 12.
12-01	Niko ne sme biti izložen proizvoljnom mešanju u privatni život, porodicu, stan ili prepisku, niti napadima na čast i ugled. Svako ima pravo na zakonsku zaštitu protiv ovakvog mešanja ili napada.
13-00	Član 13.
13-01	Svako ima pravo na slobodu kretanja i izbora stanovanja u granicama pojedine države.
13-02	Svako ima pravo da napusti bilo koju zemlju, uključujući svoju vlastitu, i da se vrati u svoju zemlju.
14-00	Član 14.
14-01	Svako ima pravo da traži i uživa u drugim zemljama utočište od proganjanja.
14-02	Na ovo pravo se niko ne može pozvati u slučaju gonjenja za krivična dela koja nisu političkog karaktera ili progona zbog dela koja su u suprotnosti sa ciljevima i načelima Ujedinjenih nacija.
15-00	Član 15.
15-01	Svako ima pravo na državljanstvo.
15-02	Niko ne sme samovoljno biti lišen svog državljanstva niti prava da promeni državljanstvo.
16-00	Član 16.
16-01	Punoletni muškarci i žene, bez ikakvih ograničenja u pogledu rase, državljanstva ili vere, imaju pravo da sklope brak i da osnuju porodicu. Oni su ravnopravni prilikom sklapanja braka, za vreme njegovog trajanja i prilikom njegovog razvoda.
16-02	Brak se zaključuje samo slobodnim i potpunim pristankom lica koja stupaju u brak.
16-03	Porodica je prirodna i osnovna ćelija društva i ima pravo na zaštitu društva i države.
17-00	Član 17.
17-01	Svako ima pravo da poseduje imovinu, sam kao i u zajednici s drugima.
17-02	Niko ne sme biti samovoljno lišen imovine.
18-00	Član 18.
18-01	Svako ima pravo na slobodu misli, savesti i vere; ovo pravo uključuje slobodu promene vere ili ubeđenja i slobodu da čovek, bilo sam ili u zajednici s drugima, javno ili privatno, upražnjava svoju veru ili ubeđenje putem nastave, vršenja kulta i obavljanja obreda.
19-00	Član 19.
19-01	Svako ima pravo na slobodu mišljenja i izražavanja, što obuhvata i pravo da ne bude uznemiravan zbog svog mišljenja, kao i pravo da traži, prima i širi obaveštenja i ideje bilo kojim sredstvima i bez obzira na granice.
20-00	Član 20.
20-01	Svako ima pravo na slobodu mirnog okupljanja i udruživanja.
20-02	Niko ne može biti primoran da pripada nekom udruženju.
21-00	Član 21.
21-01	Svako ima pravo da učestvuje u upravljanju svojom zemljom, neposredno ili preko slobodno izabranih predstavnika.
21-02	Svako ima pravo da na ravnopravnoj osnovi stupa u javnu službu u svojoj zemlji.
21-03	Volja naroda je osnova državne vlasti: ova volja treba da se izražava na povremenim i slobodnim izborima, koji će se sprovoditi opštim i jednakim pravom glasa, tajnim glasanjem ili odgovarajućim postupkom kojim se obezbeđuje sloboda glasanja.
22-00	Član 22.
22-01	Svako, kao član društva, ima pravo na socijalno osiguranje i pravo da ostvaruje privredna, društvena i kulturna prava neophodna za svoje dostojanstvo i za slobodan razvoj svoje ličnosti, uz pomoć države i međunarodne saradnje, a u skladu s organizacijom i sredstvima svake države.
23-00	Član 23.
23-01	Svako ima pravo na rad, na slobodan izbor zaposlenja, na pravične i zadovoljavajuće uslove rada i na zaštitu od nezaposlenosti.
23-02	Svako, bez ikakve razlike, ima pravo na jednaku platu za jednaki rad.
23-03	Svako ko radi ima pravo na pravednu i zadovoljavajuću naknadu koja njemu i njegovoj porodici obezbeđuje egzistenciju koja odgovara ljudskom dostojanstvu i koja će, ako bude potrebno, biti upotpunjena drugim sredstvima socijalne zaštite.
23-04	Svako ima pravo da obrazuje i da stupi u sindikate radi zaštite svojih interesa.
24-00	Član 24.
24-01	Svako ima pravo na odmor i razonodu, uključujući razumno ograničenje radnog vremena i povremeni plaćeni odmor.
25-00	Član 25.
25-01	Svako ima pravo na životni standard koji obezbeđuje zdravlje i blagostanje, njegovo i njegove porodice, uključujući hranu, odeću, stan i lekarsku negu i potrebne socijalne službe, kao i pravo na osiguranje u slučaju nezaposlenosti, bolesti, invalidnosti, udovištva, starosti, ili drugih slučajeva gubljenja sredstava za izdržavanje usled okolnosti nezavisnih od njegove volje.
25-02	Majke i deca imaju pravo na naročito staranje i pomoć. Sva deca, rođena u braku ili van njega, uživaju jednaku socijalnu zaštitu.
26-00	Član 26.
26-01	Svako ima pravo na školovanje. Školovanje treba da bude besplatno bar u osnovnim i nižim školama. Osnovna nastava je obavezna. Tehnička i stručna nastava treba da bude opšte dostupna, a viša nastava treba da bude svima podjednako pristupačna na osnovu utvrđenih kriterijuma.
26-02	Školovanje treba da bude usmereno punom razvoju ljudske ličnosti i jačanju poštovanja ljudskih prava i osnovnih sloboda. Ono treba da unapređuje razumevanje, trpeljivost i prijateljstvo među svim narodima, rasnim i verskim grupacijama, kao i delatnost Ujedinjenih nacija za održavanje mira.
26-03	Roditelji imaju prvenstveno pravo da biraju vrstu školovanja za svoju decu.
27-00	Član 27.
27-01	Svako ima pravo da slobodno učestvuje u kulturnom životu zajednice, da uživa u umetnosti i da učestvuje u naučnom napretku i u dobrobiti koja otuda proističe.
27-02	Svako ima pravo na zaštitu moralnih i materijalnih interesa koji proističu iz bilo kog naučnog, književnog ili umetničkog dela čiji je on tvorac.
28-00	Član 28.
28-01	Svako ima pravo na društveni i međunarodni poredak u kojem prava i slobode objavljeni u ovoj Deklaraciji mogu biti potpuno ostvareni.
29-00	Član 29.
29-01	Svako ima dužnost prema zajednici koja jedina omogućava slobodno i puno razvijanje njegove ličnosti.
29-02	U vršenju svojih prava i ostvarivanju sloboda svako može biti podvrgnut samo onim ograničenjima koja su predviđena zakonom u cilju obezbeđenja nužnog priznanja i poštovanja prava i sloboda drugih i u cilju zadovoljenja pravičnih zahteva morala, javnog poretka i opšteg blagostanja u demokratskom društvu.
29-03	Ova prava i slobode ni u kom slučaju ne mogu se izvršavati protivno ciljevima i načelima Ujedinjenih nacija.
30-00	Član 30.
30-01	Nijedna odredba ove Deklaracije ne može se tumačiti kao pravo za ma koju državu, grupu ili lice da preduzima bilo koju aktivnost ili da vrši bilo kakvu radnju usmerenu na poništenje prava i sloboda koji su u njoj sadržani.
