00-00	FASWIRI HA LUGHA YA SHIMAORE YA MUTEKELEZEO WA SHI ULEMENGU WA ZIHAKI ZA MWANADAMU (HAKI-L-ADAMI)
00-01	Ha uwafiki amba mukuɓalio wa sheo wahuswiana na watru piya wapanga udjama wa shi ɓinadamu, na wa zihaki zao zilio sawa wala kazitriliha rahani, urendreha ɗe musingi wa unafasi,na wa haki, na wa amani hari mwa lidunia ;
00-02	Ha uwafiki amba muharalio na mupuzisio wa zihaki za mwanadamu zitsongesha mufanyishio wa zitrendrwa za shi ukatili zikao amba zitsotso fikira ya unadamu, arudi mujilio wa ulemengu ukao amba ziumbe ɓinadamu watsokana nafasi ya ulagua na ya uamini, amba wapukamana na trisidzo na usikini, ɓasi mujilio uwo utrangiziwa mauri ɗe mataradjio maɓole kaɓisa ya mwanadamu ;
00-03	Ha uwafiki amba irendreha muhimu zihaki za mwanadamu zihafadhwiwe na sirikali ya haki ile pare mwanadamu asulazimishihe, ha udzidailia, arumie shombo ndziro ya uwana kinyume na upeu, na unyonyozi ;
00-04	Ha uwafiki amba irendreha muhimu mutrilio-shime wa mwendreleombeli wa mingiliano ya shi uwandzani ɓaina ya matwaifa ;
00-05	Ha uwafiki amba hari mwa sharia-musingi, umati wa Uvhumoja wa Matwaifa watrangaza ha mara yangina iimani yao hari mwa zihaki musingi za mwanadamu, hari mwa usheo na uutru wa uɓinadamu,hari mwa usawa wa zihaki za watruɓaɓa na watrumama, esa wadzitayarisha ha uvhendzelea maendreleo ya shi udjama, esa wadzitayarisha wajau ha utria ndziani masharutwi mema ya uẽshi hari mwa unafasi mɓole kaɓisa ;
00-06	Ha uwafiki amba zi Daula Wanashama zirenge wahadi ya utria ndziani, mastaha ya shi ulemengu na ya kweli ya zihaki za uɓinadamu na zinafasi musingi ; na zinu, ha mushirikiano na Kungumanyo ya Uvhumoja wa Matwaifa ;
00-07	Ha uwafiki amba fikira ya shi udjama ya zihaki zinu na zinafasi zinu ya muhimu kaɓisa ha urenga miãdi inu namna yastahiki ;
00-08	Liɓaraza djimla lisutrangaza Mutekelezeo wa shi Ulemengu uhusu Zihaki za Mwanadamu (Haki-l-Adami) mauri ɗe mataradjio ya djama yakusudiwa na umati piya na matwaifa piya, ile pare watru piya na zidjaniɓu zotsi za imudjitamaã, walio amba wana mutekelezeo unu fikirani, wafanye djitihadi, ha ndzia za musomo na za malezi, ya uendresa mbeli mastaha ya zihaki zinu na zinafasi zinu, na ha utria ndziani, ha urenga satua zendrao na uengedzeha hari mwa mukaɓala wa shi tsiju au wa shi ulemengu, mukuɓalio na mutrilio-ndziani wa shi ulemengu tsena wa kweli, neka mengoni mwa wakazi wa ziDaula Wanashama wawo ha wawo, au mengoni mwa wakazi wa ziardwi zilio utsini mwa imahakama yao.
01-00	Kanuni ya handra
01-01	Wanadamu piya udzalwa huru tsena sawa ha ufahari na ha haki. Na wawo wana ãkili na hisi, esa ilazimu wadzivhinge na wanyao ha fikira ya unanya.
