00-00	Mʌshelɔ Ma Aŋfəm ŋa Rʌru Ta Ʌmari Ma Rʌwuni Kəpet
00-01	Ɔwa ta salata kʌsɔthnɛ ʌyiki a komʌnɛ aŋ fəm akəpet, ɔwa yi ʌmari məthənʌnɛ a komʌnɛ ŋa‐e, ŋa yi ʌŋgbeth ŋa rʌwankom, mʌlompi, yi mʌthɔfəl ka nɔru.
00-02	Ɔwa, kʌ kʌlʌ agbʌp yi kʌsay ʌmari ma aŋfəm akəpet mʌ po kʌrʌ kʌdifəthʌnɛ ʌke po ləsər tʌtemp ta aŋfəm akəpet, ɔwa kə po kʌrʌ ka rʌru ʌre, pə yi naŋrʌ aŋfəm akəpet maŋba naŋ rʌwankom ra kʌfɔf, kʌtʌŋ ɛdina, kəte ba rənes kəpa ye, ʌŋe ŋʌ tha yi mʌfela ma aŋfəm akəpet thɔŋ bɛ nɔru. Ɔwa ɔ fisa ti, kʌmʌ a te gbɔndar aŋfəm rə tʌy o tʌy bɛ mə yɔ ŋa aŋ thʌnthonɛ tə kəfumpər aŋe bət ʌŋfɔsɔ mə thʌlər ŋa‐e, ɔwa tʌsoma, a yi təkə bot ɛthɔ məkunkəla ŋa‐e.
00-03	Ɔwa a yi təkə sakəthi ʌkɛra ʌke dɛr o dɛr, təkə yɔ tʌthɔf ta rʌru bɛ təmanɛ. Ɔwa tʌsoma aŋfəm ŋa tʌthɔf bɛ aŋ wopʌnɛ ka rʌru, aŋ bot ka mʌsekrʌnɛ maŋ təkə beŋ kʌmʌ aŋ gbasi ɔfu fəlen malane ma kʌsɔŋ aŋfəm akəpet ʌmari akomʌnɛ ŋa, ka ayiki yi to wuni kəpet ɔ yi‐e, kəpa runiŋaŋi, yi bom ŋaŋ a thənanɛ. Ɔwa aŋ bɛŋ təkə səkʌ ro di rʌwankom yi mayi mʌkolo mʌ aŋfəm akəpet.
00-04	Ɔwa rokɔm kati bɛ tʌthɔf ʌte yi ka ʌŋnənki aŋe, təsɔnɛ kəpa, tʌ tə wopanɛ rəkin yi tʌthɔf ta rʌru tək sakəthi yi kəwop ʌmari a komʌnɛ aŋfəm akəpet yi tʌwankom tʌŋ.
00-05	Ɔwa aŋpo bɛŋ tə kəyi kʌsɔthnɛ ʌmari ʌme yi rʌwankom ʌre, yʌ yi aŋkolo ŋa mʌsekrʌnɛ ʌme.
00-06	Tʌsoma Ʌkamathɔ ka Aŋfəm ŋa Rʌru kə Thʌsʌ
00-07	Ʌkera Ʌke kəpa :
00-08	Mʌshelɔ ma kʌsɔŋ ʌmari a komʌnɛ aŋfəm akəpet ʌme, mʌ yi ɔtəmʌ wa wuni o wuni yi ka tʌthɔf ta rʌru bɛ kʌmʌ wuni o wuni, ʌgbʌp o gbʌp ka rʌru, ɔ yi təkə bot mʌsekrʌnɛ ʌme rə merʌ ʌlɔkɔ bɛ, rə kəthəkəsʌ aŋfəm akəpet kʌmʌ aŋ səkʌ kʌyikis ʌmari a komanɛ aŋfəm akəpet yi tʌwankom taŋ ro di, kətɔŋ ka aŋc yi ka tʌthɔf ro kor yi aŋe yi ka tʌthɔf təbraŋ. Kʌmʌ aŋfəm bɛ ka rʌru aŋ wop mʌsekrʌnɛ ʌme. Ɔwa kʌmʌ aŋ sɔthnɛ, yi kəwop mʌsekrʌnɛ ʌme ketɔŋ ka aŋfəm ŋa tʌthɔf yi ka ʌŋənki ʌŋe yi kətɔŋ ka aŋfəm bɛ maŋ kaman‐e :
01-00	1. Ʌŋsəkəl ʌtɔtɔkɔ
01-01	A kom aŋfəm akəpet bɛ ŋa athənʌnɛ yi rʌwankom. Ɔwa aŋ ba məmari məthənʌnɛ. Ɔwa aŋ ba məfith yi təchemp. Chiyaŋ, aŋ yi təkə gbasi aŋkos ŋaŋ mɔ kəpa ŋa təkom.
02-00	2. Ʌŋsəkəl bekʌ mʌreŋ
