00-00	ปฏิญญาสากลว่าด้วยสิทธิมนุษยชน
00-01	โดยที่การยอมรับศักดิ์ศรีแต่กำเนิด และสิทธิที่เท่าเทียมกันและที่ไม่อาจเพิกถอนได้ของสมาชิกทั้งมวลแห่งครอบครัวมนุษยชาติ เป็นพื้นฐานแห่งอิสรภาพ ความยุติธรรม และสันติภาพในโลก
00-02	โดยที่การไม่นำพาและการหมิ่นในคุณค่าของสิทธิมนุษยชน ยังผลให้มีการกระทำอันป่าเถื่อน ซึ่งเป็นการขัดอย่างร้ายแรงต่อมโนธรรมของมนุษยชาติ และการมาถึงของโลกที่ได้มีการประกาศให้ความมีอิสรภาพในการพูดและความเชื่อ และอิสรภาพจากความหวาดกลัวและความต้องการของมนุษย์ เป็นความปรารถนาสูงสุดของประชาชนทั่วไป
00-03	โดยที่เป็นการจำเป็นที่สิทธิมนุษยชนควรได้รับความคุ้มครองโดยหลักนิติธรรม ถ้าจะไม่บังคับให้คนต้องหันเข้าหาการลุกขึ้นต่อต้านทรราชและการกดขี่เป็นวิถีทางสุดท้าย
00-04	โดยที่เป็นการจำเป็นที่จะส่งเสริมพัฒนาการแห่งความสัมพันธ์ฉันมิตรระหว่างชาติต่างๆ
00-05	โดยที่ประชาชนแห่งสหประชาชาติได้ยืนยันอีกครั้งไว้ในกฎบัตรถึงศรัทธาในสิทธิมนุษยชนขั้นพื้นฐาน ในศักดิ์ศรีและค่าของมนุษย์ และในสิทธิที่เท่าเทียมกันของบรรดาชายและหญิง และได้มุ่งมั่นที่จะส่งเสริมความก้าวหน้าทางสังคมและมาตรฐานแห่งชีวิตที่ดีขึ้นในอิสรภาพอันกว้างขวางยิ่งขึ้น
00-06	โดยที่รัฐสมาชิกต่างปฏิญาณที่จะบรรลุถึงซึ่งการส่งเสริมการเคารพและการยึดถือสิทธิมนุษยชน และอิสรภาพขั้นพื้นฐานโดยสากล โดยความร่วมมือกับสหประชาชาติ
00-07	โดยที่ความเข้าใจร่วมกันในสิทธิและอิสรภาพเหล่านี้ เป็นสิ่งสำคัญที่สุด เพื่อให้ปฏิญาณนี้สำเร็จผลเต็มบริบูรณ์
00-08	ฉะนั้น บัดนี้ สมัชชาจึงประกาศปฏิญญาสากลว่าด้วยสิทธิมนุษยชนนี้ ให้เป็นมาตรฐานร่วมกันแห่งความสำเร็จสำหรับประชาชนทั้งมวล และประชาชาติทั้งหลาย เพื่อจุดมุ่งหมายที่ว่า ปัจเจกบุคคลทุกคนและทุกส่วนของสังคม โดยการคำนึงถึงปฏิญญานี้เป็นเนืองนิตย์ จะมุ่งมั่นส่งเสริมการเคารพสิทธิและอิสรภาพเหล่านี้ ด้วยการสอนและการศึกษา และให้มีการยอมรับและยึดถือโดยสากลอย่างมีประสิทธิผล ด้วยมาตรการแห่งชาติและระหว่างประเทศอันก้าวหน้าตามลำดับ ทั้งในบรรดาประชาชนของรัฐสมาชิกด้วยกันเอง และในบรรดาประชาชนของดินแดนที่อยู่ใต้เขตอำนาจแห่งรัฐนั้น
01-00	ข้อ 1
01-01	มนุษย์ทั้งปวงเกิดมามีอิสระและเสมอภาคกันในศักดิ์ศรีและสิทธิ ต่างในตนมีเหตุผลและมโนธรรม และควรปฏิบัติต่อกันด้วยจิตวิญญาณแห่งภราดรภาพ
02-00	ข้อ 2
02-01	ทุกคนย่อมมีสิทธิและอิสรภาพทั้งปวงตามที่กำหนดไว้ในปฏิญญานี้ โดยปราศจากการแบ่งแยกไม่ว่าชนิดใด อาทิ เชื้อชาติ ผิว เพศ ภาษา ศาสนา ความคิดเห็นทางการเมืองหรือทางอื่น พื้นเพทางชาติหรือสังคม ทรัพย์สิน การเกิด หรือสถานะอื่น นอกเหนือจากนี้ จะไม่มีการแบ่งแยกใด บนพื้นฐานของสถานะทางการเมือง ทางกฎหมาย หรือทางการระหว่างประเทศของประเทศ หรือดินแดนที่บุคคลสังกัด ไม่ว่าดินแดนนี้จะเป็นเอกราช อยู่ในความพิทักษ์ มิได้ปกครองตนเอง หรืออยู่ภายใต้การจำกัดอธิปไตยอื่นใด
03-00	ข้อ 3
03-01	ทุกคนมีสิทธิในการมีชีวิต เสรีภาพ และความมั่นคงแห่งบุคคล
04-00	ข้อ 4
04-01	บุคคลใดจะตกอยู่ในความเป็นทาส หรือสภาวะจำยอมไม่ได้ ทั้งนี้ ห้ามความเป็นทาส และการค้าทาสทุกรูปแบบ
05-00	ข้อ 5
05-01	บุคคลใดจะถูกกระทำการทรมานหรือการปฏิบัติหรือการลงโทษที่โหดร้าย ไร้มนุษยธรรมหรือ ย่ำยีศักดิ์ศรีไม่ได้
06-00	ข้อ 6
06-01	ทุกคนมีสิทธิที่จะได้รับการยอมรับทุกแห่งหนว่าเป็นบุคคลตามกฎหมาย
07-00	ข้อ 7
07-01	ทุกคนเสมอภาคกันตามกฎหมายและมีสิทธิที่จะได้รับความคุ้มครองของกฎหมายเท่าเทียมกัน โดยปราศจากการเลือกปฏิบัติใด ทุกคนมีสิทธิที่จะได้รับความคุ้มครองเท่าเทียมกันจากการเลือกปฏิบัติใด อันเป็นการล่วงละเมิดปฏิญญานี้ และจากการยุยงให้มีการเลือกปฏิบัติดังกล่าว
08-00	ข้อ 8
08-01	ทุกคนมีสิทธิที่จะได้รับการเยียวยาอันมีประสิทธิผลจากศาลที่มีอำนาจแห่งรัฐต่อการกระทำอันล่วงละเมิดสิทธิขั้นพื้นฐาน ซึ่งตนได้รับตามรัฐธรรมนูญหรือกฎหมาย
09-00	ข้อ 9
09-01	บุคคลใดจะถูกจับกุม กักขัง หรือเนรเทศตามอำเภอใจไม่ได้
10-00	ข้อ 10
