00-00	КИЖИНИҢ ЭРГЕЛЕРИНИҢ БҮГҮ-НИИТИ УГУУЛГАЗЫ
00-01	Кижи төрелгетен аймааның бүгү кежигүннериниң  кижи мөзүзүн, оларның дең болгаш казып болбас эргелерин хүлээп көөрү хосталганың, чөптүг чоруктуң база бүгү-ниити тайбыңның үндезини болурун кичээнгейге албышаан; база
00-02	кижиниң эргелеринге тоомча чок болгаш көөр хөөн чок чоруктуң кижи төрелгетенниң сагыжын аартып дүвүреткен дерзии үүлгедиглерге чедиргенин база кижилер  сөстүң болгаш үзелдерниң   хосталгазынга эргелиг, коргуушкун болгаш түрегделден хостуг  делегейни тургузары кижилерниң бедик чүткүлү кылдыр чарлаттынганын  кичээнгейге албышаан; база
00-03	кижиниң эргелери хоойлуга  кижи  ужур-дүрүм чок чагыргага болгаш дарлалгага удур сөөлгү арга кылдыр  тура халыышкын ажыглаар ужурга таварышпас  кылдыр камгалаттынган турарының эргежок чугулазын кичээнгейге албышаан; база
00-04	чоннар аразынга эп-найыралдыг харылзааларның сайзыралын деткиириниң эргежок чугулазын кичээнгейге албышаан; база
00-05	Каттышкан Нацияларның чоннарының кижиниң кол эргелеринге, кижи мөзүзүнге болгаш үнезинге база эр болгаш херээжен кижилерниң дең эргелиинге бүзүрелин Уставта бадыткаанын база  улам хостуг байдалга социал депшилгени болгаш амыдыралдың байдалдарын экижидерин   деткиирин шиитпирлээнин   кичээнгейге албышаан; база
00-06	кежигүн-күрүнелерниң Каттышкан Нациялар Организациязы-биле кады ажылдавышаан, кижиниң эргелерин болгаш  кол хосталгаларын бүгүдениң хүндүлээрин база сагыырын чедип алырынга деткимче бээрин хүлээнгенин  кичээнгейге албышаан; база
00-07	бо эргелерниң болгаш хосталгаларның характерин бүгүдениң угаап билири ол хүлээлгени долузу-биле күүседиринге улуг ужур-дузалыг болурун кичээнгейге албышаан,
00-08	Чиңгине Ассамблея
00-09	Кижиниң эргелериниң бо бүгү-ниити угуулгазын бүгү чоннарның болгаш күрүнелерниң күүседир дээш кызыдар ужурлуг база  кижи бүрүзү болгаш  ниитилелдиң орган бүрүзү ук Угуулганы  доктаамал кичээнгейге албышаан, чырыдылга болгаш өөредилге аргалары-биле ук эргелер биле хосталгаларны хүндүлээрин деткиир, национал  болгаш улустар аразының депшилгелиг хемчеглерин ажыглап тургаш, Организацияның  кежигүнү күрүнелериниң база ол күрүнелерниң юрисдикциязында турар девискээрлерниң чоннарының аразынга оларны бүгүдениң хүлээп көөрүн база үре-түңнелдиг боттанырын деткииринче угланган  сорулга кылдыр чарлап тур.
01-00	1 чүүл
01-01	Бүгү кижилер хостуг база мөзүзү болгаш эргелери дең кылдыр төрүттүнер. Оларга угаансарыыл болгаш арын-нүүр бердинген болур болгаш олар бот-боттарынга  акы-дуңмалышкы хамаарылганы  көргүзер ужурлуг.
02-00	2 чүүл
02-01	Кижи бүрүзү ук Угуулгада чарлаттынган бүгү эргелерге болгаш хосталгаларга  язы-сөөгү, кежиниң өңү, эр-херээжени, дылы, чүдүлгези, политиктиг болгаш өске-даа үзелдери, национал болгаш социал ызыгууру, өнчү-хөреңгизи, аңгы болгаш өске-даа  байдалдардан хамаан чокка  эргелиг.
02-02	Оон аңгыда, кижини ооң хамааржып турары күрүнениң азы девискээрниң политиктиг, хоойлу-дүрүм азы чоннар аразында статузун, ук девискээрниң хамаарышпазын, өскелерниң харагалзалында турарын, бот-башкарылга чок азы бот-догуннаашкынында кандыг-бир кызыгаарлыг бооп турарын барымдаалап ылгаар чорук турбас ужурлуг.
03-00	3 чүүл
03-01	Кижи бүрүзү амыдырап-чурттаар, хостуг болур болгаш дээп болбас эргелиг.
04-00	4 чүүл
04-01	Кым-даа кулданыгга азы хостуг эвес байдалга туттунмас ужурлуг; кулданыгның болгаш кул садарының бүгү хевирлери хоруглуг.
05-00	5 чүүл
05-01	Кым-даа  эрии-шаажыга азы каржы, кижизиг эвес азы ооң кижи мөзүзүн  дорамчылаан аажылалга болгаш  шииткелге  таварышпас ужурлуг.
06-00	6 чүүл
06-01	Кижи бүрүзү каяа-даа чорааш, ооң тускай субъект эргелиин  хүлээп көөрүнге эргелиг.
07-00	7 чүүл
07-01	Бүгү кижилер хоойлу мурнунга дең эргелиг база хоойлуга кандыг-даа ылгал чокка, дең камгаладыр эргелиг. Бүгү кижилер ук Угуулганы хажыдып турар ылгай көрүүшкүнден база ындыг ылгай көрүүшкүннү кылырынче  күткүлгеден  дең  камгаладыр эргелиг.
08-00	8 чүүл
08-01	Кижи бүрүзү конституция азы хоойлу езугаар көрдүнген кол эргелери хажыттынган таварылгаларда долу эргелиг национал шүүгүнүң ооң эргелерин катап үре-түңнелдиг тургузуп бээринге эргелиг.
09-00	9 чүүл
09-01	Кым-даа барымдаа чок  хоругдалга, тудуп хоругдаашкынга азы ойладыышкынга таварышпас ужурлуг.
10-00	10 чүүл
