00-00	Declarasion univarsałe de i deriti umani
00-01	Considarà che el reconosimento de ła dinjità inerente a tuti i menbri de ła fameja umana e de i só deriti, conpanji e inałienàbiłi, el costituise el fondamento de ła łibartà, de ła justisia e de ła paze inte’l mondo;
00-02	Considarà che el desconosimento e el despreso de i deriti umani i ga portà a ati de barbarità che i ofende ła cosiensa de l’umanità, e che el rivar de un mondo ndove che i èsari umani i gode de ła łibartà de paroła e de credo e de ła łibartà da ła paura e da’l bezonjo el ze stà proclamà cofà ła pì alta aspirasion de l’omo;
00-03	Considarà ch’A ze indespensàbiłe che i deriti umani i sie protezesti da norme zurìdeghe, se A se vołe evitar che l’omo el sie costreto a recórar, cofà ùltima istansa, a ła rebełion contro de ła tiranìa e l’opresion;
00-04	Considarà ch’A ze indespensàbiłe promóvar el dezviłupo de raporti da amighi intrà Nasion;
00-05	Considarà che i pòpołi de łe Nasion Unìe i ga reafermà inte ła Carta ła só fede inte i deriti umani fondamentałi, inte ła dinjità e inte’l vałor de ła parsona umana, inte l’eguajansa de i deriti de l’omo e de ła dona, e i ga desizo de promóvar el progreso sosiałe e un mejo tenor de vita in na pì granda łibartà;
00-06	Considarà che i Stati menbri i se ga inpenjà a parseguir, in cooparasion co łe Nasion Unìe, el respeto e l’osarvansa univarsałe de i deriti umani e de łe łibartà fondamentałe;
00-07	Considarà che na consesion comun de ’sti deriti e de ’ste łibartà ła ze de ła màsima inportansa par ła piena reałizasion de ’sti inpenji;
00-08	L’asenblèa zenarałe
00-09	ła proclama
00-10	’sta declarasion cofà ideałe comun par tuti i pòpołi e łe nasion, a’l fin che onji parsona e onji partision de ła sosietà łe gapie da mirar, tenjendo ’sta Declarasion senpre inamente, a promóvar co l’insenjamento e l’educasion a’l respeto de ’sti deriti e de ’ste łibartà e traverso de mezure progresive, nasionałe e intarnasionałe, par seguràrghene reconosimento e osarvansa efetive, tanto par i pòpołi de i Stati Menbri par primi, che par i pòpołi che i ze soto só jurizdision.
01-00	Artìgoło 1
01-01	Tuti i èsari umani i nase łìbari e conpanji par dinjità e deriti. I ze dotài de rajon e de cosiensa e i ga da conportarse intrà de łori co spìrito de fradełi.
02-00	Artìgoło 2
02-01	A onjun A ghe speta tuti i deriti e tute łe łibartà prezentài inte ’sta Declarasion, sensa nesuna distinsion, cofà de rasa, de cołor, de seso, de łengua, de rełijon, de opinion połìtega o de altra sorte, de orìzene nasionałe o sosiałe, de richesa, de nàsita o de altra condision.
02-02	Oltratuto, nesuna distinsion ła sarà fata drio el status połìtego, zurìdego o intarnasionałe de’l paeze o de’l teritorio da ndo’ che na parsona ła vien, che’l sia independente, o soto aministrasion dełegà, o mìa autònomo, o sojeto a łimitasion de sovranità, cuała che ła sipie.
03-00	Artìgoło 3
03-01	Onjun el ga el derito a ła vita, a ła łibartà e a ła segurità de ła só parsona.
04-00	Artìgoło 4
04-01	Nesun el podarà èsar tenjù da sciavo o da servo; ła sciavitù e el marcà de sciavi i sarà proibìi in tute łe maniere.
05-00	Artìgoło 5
05-01	Nesun el podarà èsar meso soto tortura o a tratamenti o punision crudełe, dezumane o dezgradante.
06-00	Artìgoło 6
06-01	Onjun el ga el derito, dapartuto, a’l reconosimento de ła só parsonałità zurìdega.
07-00	Artìgoło 7
07-01	Tuti cuanti i ze conpanji davanti a ła łeze e i ga el derito, sensa nesuna discriminasion, a ła stesa protesion da parte de ła łeze. Tuti cuanti i ga derito a na stesa protesion contro de onji discriminasion che ła ghe vaga contro a ’sta Declarasion, e cusì anca par onji istigasion a ’sta dita discriminasion.
08-00	Artìgoło 8
08-01	Onjun el ga el derito a na efetiva posibiłità de recorso a tribunałi conpetenti, contro de ati che no i respeta i só deriti fondamentałi reconosùi da ła costitusion o da ła łeze.
09-00	Artìgoło 9
09-01	Nesun el podarà èsar arestà, inprezonà o eziłià par arbitrio.
10-00	Artìgoło 10
10-01	Onjun el ga el derito, in condision conpanja par tuti, a na udiensa justa e pùblega davanti de un tribunałe independente e inparsiałe, par ła detarminasion de i só deriti, de i só doveri e anca de onji acuzasion criminałe contro de łu.
11-00	Artìgoło 11
11-01	Onji parsona acuzà de un crìmene ła ze considarà inosente fin che ła só colpa ła sia stà provà par via łegałe inte un proseso pùblego ndo’ che ła gapia vùo tute łe garansìe che łe ghe vołe par ła só defension.
11-02	Nesun el sarà condanà par un conportamento de comision o de omision che, inte’l momento de’l fato, no’l fuse considarà crìmene drio el derito interno o drio el derito intarnasionałe. Isteso, nesuna pena ła podarà èsar sentensià che ła sipie suparior a cueła che ła jera prevista inte’l momento de ła comision de’l crìmene.
12-00	Artìgoło 12
12-01	Nesun el gavarà da subir intarfarense arbitrarie inte ła só vita privà, inte ła só fameja, inte ła só caza, inte ła só corespondensa, e njanca da védare ofendesti el só onor e ła só reputasion. Onjun el ga el derito de èsar tutełà da ła łeze contro de ’ste intarfarense o ofeze.
13-00	Artìgoło 13
13-01	Onjun el ga el derito a ła łibartà de móvarse e de abitar rento i confini de onji Stato.
13-02	Onjun el ga el derito de ndar via da onji paeze, fuse anca el suo, come anca de retornar a’l só paeze.
14-00	Artìgoło 14
14-01	Onjun el ga el derito de sercar e de gòdar, rento de altri paezi, de aziło da łe parsecusion.
14-02	’Sto derito no’l podarà èsar invocà cuando che ła parsona ła sia par vero resercà par crìmeni mìa połìteghi o par asion contro i fini e i prinsipi de łe Nasion Unìe.
15-00	Artìgoło 15
15-01	Onjun el ga derito a na nasionałità.
15-02	A nesun A podarà èsarghe cavà par arbitrio ła só nasionałità e njanca el derito de muarla.
16-00	Artìgoło 16
16-01	Òmani e fémane òtemi i ga el derito de maridarse e de fondar na fameja, sensa łimitasion de rasa, nasionałità o rełijon. I ga deriti conpanji revardo a’l matrimonio, durando el matrimonio e inte l’ato de ła só desołusion.
16-02	El matrimonio el podarà èsar fato soło che co’l łìbaro e pien consentir de i spozi promesi.
16-03	Ła fameja ła ze el nucleo naturałe e fondamentałe de ła sosietà e ła ga el derito a èsar protejesta da ła sosietà e da’l Stato.
17-00	Artìgoło 17
17-01	Onjun el ga el derito de aver na propietà sua parsonałe o in comun co altri.
17-02	Nesun el podarà èsar deprivà de ła só propietà par arbitrio.
18-00	Artìgoło 18
