00-00	LOGO BAŊA TIGISIM NABIINA ŊWE-LAO WADƐ
00-01	De na sɛ we nabiina ŋwea de logo baŋa chega chwoŋa wadɛ maama kugu zege logo maama wopwolo, de chega de yezura baŋa ne.
00-02	De na sɛ we de na ba tɔge chega chwoŋa to mo jaane nikantɔgɔ de tigura de popɔra ko twi nabiina laŋa ne, ye nabiina maama yaa lage se wopwolo de yezura yaa taa wora.
00-03	De na sɛ we nɔɔno maama taa tei o tete se tigura de popɔra ye taa wora, fefeo de peenem ŋwaane, se wadɛ sem ja kuri.
00-04	De na sɛ we teene maama taa jege wolim, de ni sɛɛm de mimɔrɔ.
00-05	De na sɛ we "UN Charter" tɔnɔ kom paŋe ko sɛ wadɛ sem ŋwea wolim ŋwaane se baara de kaana taa ye bedwe logo ywonni de wopwolo de yezura ŋwaane.
00-06	De na sɛ we UN Tigisim teene dem maama ke nimɔrɔ se chega chwoŋa wadɛ sem ja kuri nabiina zula de wopwolo ŋwaane.
00-07	De ta na sɛ we ko yaa lamma lanyerane se de ni wadɛ sento kuri se ko ja wopwolo de yezura ko ba logo baŋa.
00-08	De Laam wo se we
00-09	"General Assembly" dem pɛ
00-10	Logo Baŋa Tigisim Wadɛ sem se ko taa ye woŋ-kolo kodoo na wo woli ko ja wopwolo de logo fɔgem de yezura na wo pa nabiina ŋwea taa jege kuri logo baŋa maama ne to.
01-00	Wadaa 1
01-01	Ba loge nɔɔna maama se ba taa ye bedwe mo ba ŋwea de ba chega seini, ye fefeo teira kɔtaa. Wɛ pɛ ba swa de boboŋa mo se ba taa ye nubiu daane ye ba jege da ŋwaŋa.
02-00	Wadaa 2
02-01	Logo baŋa tigisim wadɛ sem pɛ chwoŋa se nɔɔno maama taa jege chega chwoŋa na wo pa ba ŋwea taa jege zula to. Wadɛ sem ta we ba ba fee nabiinu o chega chwoŋa ne naa ba chɛɛse o dwi o yetana, o logo lane, o wɛ jɔɔnɔ naa o boboŋa ŋwaane. Wadɛ sem ta we ba ba jege se ba taa chɛɛse nɔɔno we o ye baaro naa kaane, kwoo o jejegero naa ba na loge o mɛ to ŋwaane.
02-02	Wadɛ sem ta tage se woli da we popɔra ba jege se ka taa wora nabiina laŋa ne ba teo politiksi naa ko wadɛ naa ko na ye kolo to ŋwaane. Naa ba pɔɔre nɔɔno we o nwoŋi teo kolo ta na wo vere ko tete to ŋwaane.
03-00	Wadaa 3
03-01	Ko ye nɔɔno maama chega chwoŋa mo se o taa ŋwe ye fefeo naa foonee teira.
04-00	Wadaa 4
04-01	Wadaa kam we nabiin-yeiku naa kabɛ totoŋa naa kabɛ pipio daa ye taa wora logo baŋa ne.
05-00	Wadaa 5
05-01	Ba ba jege chwoŋa se ba pa nɔɔno yaare cham yerane ko na wo maŋe se nabiinu yaare tei to.
06-00	Wadaa 6
06-01	Nɔɔno maama ye nabiinu mo o ze paŋ o wo mɛ maama logo baŋa yoba. Logo baŋa wadɛ sem maama yiga ne, wadaa teira na wo ta we o dae nabiinu.
07-00	Wadaa 7
07-01	Nabiina maama ye bedwe mo wadaa yiga ne. Wadaa choo nɔɔno maama mo; ka ba pɔɔre nɔɔɔna ka yaga. Ka kwoli nabiina maama mo se wolo wolo ye chɛɛse o dwoŋ.
08-00	Wadaa 8
08-01	Nɔɔno maama wae o saŋ nɔɔno o dwoŋ kɔɔte delo maama wone nenɛɛne ko tu na ke o chɔge teo kom wadɛ selo na pa nɔɔno wom ŋwea ywona to.
09-00	Wadaa 9
09-01	Ba baa wane ba ja nɔɔno yɔɔ yerane ba gare ba ke o peena diga naa ba zeili o o teo ne pa o vo zoora te-gaa ne.
10-00	Wadaa 10
10-01	Ba na jaane nɔɔno fee wora se ba di o sareya kɔɔte ne lanyerane ko maŋ de teo kom wadɛ na tiŋi tei to ba ni o seene o chɔge naa o wo chɔge.
11-00	Wadaa 11
11-01	Ba na jaane nɔɔno we o chɔge o maŋe waarem ba na wo di o bora tata ba ba jege chwoŋa ba te we chɔge fee wora se ba pa ko tu chwoŋa se o ja lɔya de sareya tiina se ba woli o se ba di taane dem kɔɔte ne.
11-02	Ba baa wane ba ta we nɔɔno yaa ke o chɔge naa ba ta we o ve se o yaa ke kolo na maŋe keim chega chwoŋa ne to, ye ka maŋa ne wadaa yaa teira ko ŋwaane. Ko kwaga ne tata ba baa wane ba pa nɔɔno waarem na dage de dwoi waarem delo dwi o deim yaa na wo jwoŋ o na chɔge maŋa kalo to.
12-00	Wadaa 12
12-01	Ba ba jege chwoŋa ba daane nɔɔno yɔɔ yerane o boboŋa keiri seini, naa o diga tiina, naa o sɔŋɔ de o pwola totoŋa seini. Ba nam ba jege chwoŋa ba ke o kekeo kolo na wo chɔge nɔɔno wom yu to. Wadaa kanto choo nɔɔno maama mo o kekeo maama seini, ye daanem teira.
13-00	Wadaa 13
13-01	Nɔɔno maama wae o beiri o boboŋa na lage tei ye o zoore o boboŋa na lage mɛ maama to, o teo ne.
13-02	Nɔɔno maama wae o nwoŋ teo de teo, naa o tete teo ne o beiri o vei teo kodwoŋ ye o jwoora.
14-00	Wadaa 14
14-01	Nɔɔno wolo maama na nɛ chem o teo ne, o wane o duri o vo o taa zoore sateene dedwonna ne o wopwolo de yezura ŋwaane.
14-02	De ko de, o cham dem na dae nenɛɛne politiksi laŋa ne ko wo taa chamma se o duri o nwoŋ. O na chɔge teo kom wadɛ gɛ mo naa o kekeo kom na wo dɛ UN wadɛ sem na maŋe tei to sateene dedwonna baa sɛ de jwoŋ o mɔle mɔle.
15-00	Wadaa 15
15-01	Nɔɔno maama jege teo, o na nwoŋ mɛ.
15-02	Ba baa wane ba zeili nɔɔno o teo ne, naa ba fee o se o ye leiri teo o boboŋa na lage tei to.
16-00	Wadaa 16
16-01	Baara de kaana na bege ba ti to wae ba di daane ye ba yetana, naa ba na nwoŋ tekolo, naa ba na tɔge Wɛchoŋa kalo dwi to baa wane ko cheiŋi ba se ba ye di daane ba lɔ sɔŋɔ. Ye ba kadiri seini ba maama ma daane, ba zora de ba ŋwea seini, ye ba wae ba yage daane maŋa de maŋa, ba tete boboŋa na lage tei.
16-02	Kadiri wio ye baaro de kaane tete yerane na sɛ se ba zo daane, ye ko dae we nɔɔno mo fee ba to.
16-03	Sɔŋɔ tiina - baaro de o kaane de o bu - mo ye sayu kugu takeiri wone. Konto ŋwaane tekeiri dem de teo kom maama jege se ba taa ni ba baŋa ne mo, ba taa choo ba wolwanno maama wone.
17-00	Wadaa 17
17-01	Nɔɔno maama wae o jege o tete nyɔɔne wonno, naa o de o badwonna wae ba tei wonno daane.
17-02	Ba baa wane ba vere nɔɔno wonno naa ba pa se o ye taa lage wonno.
18-00	Wadaa 18
18-01	Nɔɔno maama wae o boŋ o na lage tei. O wae o ke o boboŋa keiri, o wae o tɔge Wɛchwoŋa kalo dwi o na lage to; o nam ta wae o leiri o Wɛchwoŋa naa o boŋem o yerane naa o de kɔgɔ, ye o bere nɔɔna Wɛchwoŋa kam o taane de o totoŋa seini.
19-00	Wadaa 19
19-01	Nɔɔno wae o ŋɔɔne o boboŋa na lage tei. O wae o tɛ kolo maama o na boŋe o yu ne, ye nɔɔno ba jege chwoŋa se o cheiŋi o ni. O wae o beiri labaare o boboŋa o daare o pae labaare dwi maama labaare tɔnno de walese bam maama wone se de jage jei mamma.
20-00	Wadaa 20
20-01	Nɔɔno maama wae o tɔge o zoore asɛmble naa tigisim dwi maama na ye yezura tigisim to.
20-02	Ba baa wane ba fee nɔɔno se o zo tigisim delo o na ba lage to.
21-00	Wadaa 21
21-01	Nɔɔno maama wae o tɔge o di o teo gɔmente paare; o nam ta wae o tɔge o voti o kuri nɔɔna o ke gɔmente dem wone.
21-02	Nɔɔno maama wae o jwoŋ wolim delo o teo gɔmente na jege de woli de nɔɔnbia maama to, ko ma da ko ma da.
