00-00	Mkamulano Wa Ilambo Yoscope Pa Ufulu Wa Chipago Wa Wandu
00-01	Aga ni maufulu gakasapagwa nago mundu jwalijose gigalembekwe ni chiwanja cha United Nations mumkamulano wakolanjikwa Universal Declaration of Human Rights.
00-02	Pa 10 December, 1948, chiwanja cha United Nations chajitichisye mitwe ja ufulu wa chipago wa mundu jwalijose. M'buku aji tugagopolele mchiyao kuti wandu wa chiyao apate upile wakugamanya nambo soni kugakamulisya masengo maufulu gakulekanganalekangana ga chipago. Ayi tuyitesile soni kuti wandu amanyilile mwampaka apatile chikamuchisyo naga ayiweni kuti boma, mundu, kampani, kapena mpingo yikumlepekasya kutama ni ufulu wakwe mpela yiwatite pakumpa Mlungu.
00-03	Chiwanja cha United Nations chilichitamilisye jele mitweji, chayiwendile yilambo yayili mamembala gakwe kuti ijenesye posepose jele mitweji kuti wandu ajimanyilie nikujikamulisya masengo. M'yoyo, kugopolelekwa kwa-jele mitweji mchiyao lili litala limpepe lya kamuchisya kwenesya ngani ja ufulu wachipago, nambo soni kuti wandu asimichisye kuti ilambo ni iwanja yenjinji yikusosa kuti wandu pa chilambo chapasi atameje mwa ufulu usyesyene.
00-04	Wandu wosope akwete maufulu gachitatuile gagali gakupagwa nago. Paligongo ali, chiwanja cha United nations chilipeleche kugagosa maufulu ga mundu jwalijose. Munkamulano wa Universal Declaration of Human Rights, chiwanjachi chikulongosola ya maufulu ga kupangwa nago ga wandu gakulekangana lekangana. Gele maufulu gali getu. Tugamanyilie tugagose, tumanyisyane, ni kugatetela kuti wandu wane akatulepelesya kuwanago.
00-05	Mkamulanowu wagopolekwe mchiyawo ni chikamuchisyo chakutyochela ku United Nations Office of the High Commissioner for Human Rights pa kumbuchila yaka 50 yamkamulanowu Tukutogolela kwejinji ku chele chiwanjachi nambo soni wandu wosope wiwakamuchisye pa masengo gosope gigakamuchisye kuti mkamulanowu ugopolelekwe mchiyawo.
01-00	Mtwe 1.
01-01	Wandu wosope akasapagwa ni ufulu ni uchimbichimbi wakulandana. Asapagwa ni lunda, niwakupakombola ganisya, m'yoyo kukusosekwa kuti mundu jwalijose am'woneje mundu jwimwe mpela mlongomjakwe.
02-00	Mtwe 2.
02-01	Mundu jwalijose akwete maufulu galembekwe mmitwe josope jamkamulano awu mwangalola mtundu, chiwecheto, mpingo, chipani, nganisyo, chikulupi, ipanje, upagwe, kanga kuti walume kapena wakongwe ni yindu ine. Nambo soni pokasipawa kulekanga ligongo lya ndale kapena chilambo chakutyochela mundu.
03-00	Mtwe 3.
03-01	Mundu jwalijose akwete ufulu wakola umi, kutama mwagopoka nambo soni kola chitetezo chakwanila.
04-00	Mtwe 4.
04-01	Mundu akasawa kapolo kapena kamulisikwa masengo mpela kapolo. Ukapolo ni malonda ga achikapolo galigakulekasikwa mchilambo chosope chapasi.
05-00	Mtwe 5.
05-01	Mundu akasasausikwa pakumtimba ni kumtenda kandu kane kalikonse ka ngalwe nambo soni akasapochela chilango changam'wajila pa umundu wakwe.
06-00	Mtwe 6.
06-01	Mundu jwalijose awonekwe mpela mundu pa malamusi ga kwinekulikose.
07-00	Mtwe 7.
07-01	Wandu wosope ali wakulandana pasi pa malamusi, m'yoyo akwete chitetezo chakulandana mmalamusi mwangalola ngope. Wandu wosope akwete chitetezo chakuti pakasipapagwa lusagu ligongo lusagulo luli lwakutindana ni mitwe jijikusimanikwa mumkamulano awu.
08-00	Mtwe 8.
08-01	Mundu jwalijose akwete ufulu wakupata chikamuchisyo kutyochela ku ganya ja kwimba magambo naga ufulu wakwe wachipago wakusimanikwa mmalamusi ga chilambo, nganiuchimbichikwa ni boma kapena wandu wane.
09-00	Mtwe 9.
09-01	Mundu akasakamulikwa ukaidi pamagongo gangalumbana nambo soni akasatoposyekwa mchilambo pa magongo gangamanyika chenene.
10-00	Mtwe 10.
10-01	Mundu akwete ufulu wakwimbikwa magambo panganya jijili jakulumbana mwangalola ngope mwakuwanjilana ni ufulu wa mundujo, ulemwa wakwe ni yindu yine yakusosekwa kuti mundujo ayigose.
11-00	Mtwe 11.
11-00	Mundu jwakumganichisya kuti alewile ulemwa wakuwajilwa chilango, awonekwe mpela jwangali ulemwa mpaka nganya jakwimba magambo jilijisimichisye kuti mundujo ali jwakulemwa nditu pakuya malamusi, magambogo soni galigajimbikwe panganya jijapele upile wandu wane kupikanila magambogo nambo soni jijampele upile mundujo wakuliwachetera mwantendere ni mwangali woga.
11-01	Mundu akasajimbikwa magambo pa ulemwa wuwatesile malamusi gakwamba ulemwa mpela welewo mkanigaichikwe. Nambo soni akasapochela chilango chachikulungwa kupunda chiwawajilwe kuchipochela pakatema kiwalemwise atamuno malamusi galigasindile.
12-00	Mtwe 12.
12-01	Mundu akole ufulu wakutama mwangasokonesyekwa pewasa lyakwe ni panyumba jakwe. Ikalata yakwe soni ikasiiunguligwa ni wandu wane. Mundu amsunjile uchimbichimbi wakwe ndawi syosope, m'yoyo mundu atetelekwe ni malamusi kuti yindu yeleyi ikasiyitendekwaga.
13-00	Mtwe 13.
13-00	Mundu jwalijose akwete ufulu wakwendajenda nambo soni kutama mchilambo chilchose.
13-01	Mundu jwalijose akwete ufulu wakutyoka mchilambo chilichose, atamuno chakumangwakwe, nambo soni kuujila kumangwakweko.
14-00	Mtwe 14.
14-00	Mundu jwalijose akwete ufulu wakutilila kuchilambo chilichose naga kumangwakweko kulikwana ipwetesi.
14-01	Wele ufulwu ngawamkutyosyekwa pa mundu atamuno ipwetesi yakutila kumangwakweo im'wichile ligongo lya ulemwa pa yindu yangawa yandale kapena soni ulemwa wakuti ni wa United Nations whose akuwuwona kuti uli ulemwa usyesyene.
15-00	Mtwe 15.
15-00	Mundu jwalijose akwete ufulu wakuwa jwa mchilambo chilichonse (Mbadwa)
15-01	Mundu akasalepelekasikwa kuwa jwamchilambo chilichose, nambo soni kusama kuchilambo chakumangwakwecho kuja kutama kuchilambo chine naga ali asachile kuti ajile m'yoyo.
16-00	Mtwe 16.
16-00	Mundu jwamlume ni jwamkongwe wayikene pamsingu wakulombela, alombane mwangalola mutundu, mpingo kapena chilambo chakutyochela. Akulombanawo akwete maufulu gakulandana pewasopo nambo soni pakumala pa liwasalyo.
16-01	Wandu alombane mwangachiliswa akulombanawo aliajitichisye kuti ulombelawo akuusaka.
16-02	Liwasa lili ndandililo ja mundu wa wandu, m'yoyo lipocheleje uchimbichimbi ni wandu wosope nambo soni boma.
17-00	Mtwe 17.
17-00	Mundu jwalijose akwete ufulu wakola chipanje mwajika kapena, mwakamulana ni wandu wane.
17-01	Mundu akasasumulikwa chipanje chakwe.
18-00	Mtwe 18.
18-01	Mundu jwalijose akwete ufulu waganisya mwakusachila ni kuwa jwampingo uliwose. Mundu soni akwete ufulu wakusinda chikulpi chakwe nambo soni mpingo wake. Mundu akwete soni ufulu wakwajiganya wandu wane mwajika kapena ni achimjakwe yindu yakwayana ndi chikulupi chakwe kapena mpingo wakwe, kwisa soni kutenda yindu yaliyonse yakwayana nichikulupi chakwecho.
19-00	Mtwe 19.
19-01	Mundu jwalijose akwete ufulu wakola nganisyo syakwesyakwe kwisa soni ufulu wakuwecheta. Mundu akasasokonesyekwa nganisyo syakwe, akole ufulu wakusosasosa ngani ni nganisyo sya wandu wane, kusipikana, nambosoni kusisala kwa wandu wane pa wayilesi, m'yikalata ni matala gane mwangalola malile ga yilambo.
20-00	Mtwe 20.
20-00	Mundu jwalijose akwete ufulu wakusongana ni achimjakwe mwamtendere nambo soni kwinjira iwanja yakulekanganaleangana.
20-01	Mundu akasachisikwa kwinjila mchiwanja chine chilichonse.
21-00	Mtwe 21.
21-00	Mundu jwalijose akwete ufulu wakwendetsa nawo boma ja chilambo chakumangwakwe, mwanjika kapena kupitila mwawandu wane wakusagulikwa pa chisajula.
21-01	Mundu jwalijose akwete ufulu wakutumichilikwa ni boma ja mchilambo chakumangwakwe.
21-02	Boma jilamule chilambo naga wandu ali ajijitichisye kuti jijile m'yoyo kupitila mchisagula chakulumbana.
22-00	Mtwe 22.
22-01	Mundu jwalijose apegwe upile wakuti apate yindu yosope yakum'wajila pa umi wakwe. Boma pampene ni maboma ga ilambo yine, itende yindu yosope yakuti yimtolele mundu ufulu pa yambiya, pa misyungu ja mtundu wa mundujo yiyili yakusosekwa mnope kuti mundu akole uchimbichimbi wakwanila nambo soni kuti akule chene
23-00	Mtwe 23.
23-00	Mundu jwalijose akwete ufulu wakamula masego ufulu wakusagula masengo, wakumlemba masengo mundujo, amkamulisye masengogo mwachilungamo. Mundo akwete soni ufulu wakutetelekwa kuti akasawa pa ulova.
23-01	Mundu jwalijose, mwangalola ngope apochele malipilo gakulandana ni achimjakwe naga ali akamwile masengo gakulandana.
23-02	Mundu jwalijose jwakukamula masengo apocheleje mbiya syakuti simkwanileje jwalakwe ni liwasa lyakwe chindu chachili chakumpa mundu uchimbichimbi. Nambo naga mbiyasyo ngasikukwana boma jimpeje mbiya sine pa chanya pa syakupochelasyo.
23-03	Mundu jwalijose akwete ufulu wakupanganya kapena kwinjila bungwe ja wandu wakamula masengo.
24-00	Mtwe 24.
