00-00	ANZIMIYO LA KILEMWENGU UHSU ZE HAKI ZAKI BINADAMU
00-01	1- Ha mwakinisho ukaya ho ukubali ye sheo shaho wo ubinadamu piya pvamwedja ne ze haki za wadjibu zaho usawa, zahao, uwo ndo mshindzi waho uhuria, no mlidzanyiso haki, ne amani yahe duniya kamili.
00-02	2- Ha mwakinisho ukaya wo upuzi no uwoneya ze haki zaki binadamu zika tsongeza yazitrendwa zaki djinga za utunkiza na ukaya wo mzalihano wa duniya yidjo ustehi wo uhuriya wamakaulu, na imani, duniya yidjo upukana na mashangaza na usikini siki, uirendeha bombeyo la mwando la hayini mwanadamu.
00-03	3- Ha mwakinisho ukaya zo muhimu ho uhifadhwi zehaki zaki binadamu harumwa daula yi rumiyao shariya yili ye mwanadamu yatsi djihundre harumwa wadjibu yauhima ha shari kinyume no urendzwa mvuu, no ukadamiziwa.
00-04	4- Ha mwakinisho ukaya zo muhimu ho utriya djitihadi wo mparano no uwandzani baina yahe ze daula.
00-05	5- Ha mwakinisho ukaya harimwa le katiba mshindzi lahe lekukumanyo lamadola ye ze umma zi tekeleza hamara yasaya wo amini zehaki mshindzi zahe mwanadamu, harumwa mastehi na mpvamo wo undru waki binadamu, pvamwedja na usawa wahe zehaki zaho wanadamu wanawashe no wanadamu wanaume. Tsibahi ze umma yizo zitekelza wo utaanrifu wahazo wausayidiya wo mpuwo ngayo wa maesha yaki mudjtamaan na usimiza sharutwi ndjema zayidi za maesha harumwa unafasiya mwindji.
00-06	6- Ha mwakinisho ukaya ze daula wanashama zidjitoleya udhwamini pvamwedja ne lekungumanyo lahe djumwiya ya madola, womstehilwa ha kweli no ulemengu kamili, wahe ze haki zaki binadamu ne ze nyihuriya mshindzi zahahe.
00-07	7- Ha mwakinisho ukaya mwelewano sawa wapwadzima wahe ze haki ne ze nyihuria yizo ndrongo muhimu hakuwu harumwa utekeleza haudjimilfu ye anhadi yamdjitoleyo yinu.
00-08	8- Le Barazaka Kuu lahe Djumuyian ya madola ngotekelezao ha dji kuwu ukaya le Katiba lakilemengu lahe zehaki zaki binadamu ndo faliki yahe ze umma ne ze daula zowontsi yili hayina mwanadamu hau kugumanyo la wanadamu harimwa wo mudjtamaan wadjo ukana le Katiba linu ho rohoni, wakazane ha ndziya zaho msomo ne malezi, wayeneze ho mstehilwa wahe zehaki ne ze nyihuriya zinu, warudi wasane wayeneze ha tartibu za furswa zaki daula za upole na zaki madaula za mpatano wo ukubaliwa no mtrilwa dziyani ha msinadi ne ze raanyia zahe ze daula wanashama na ne ze raanyia zahe ze ntsi ziliyo hotsini mwa ze dhamana zahazo.
01-00	Faslu ya handa
01-01	Wo wanadamu piya wo uzalwa na uhuriya na usawa waki undru na uhaki. Wo upwawa ankili na urambuzi hayizo yilazimu warwaliyane hazitrendwa na fikira zaki unanya.
