aka_akuapem	00-12	Sɛ mmɔdenbɔ gyinapɛn ma nkurɔfɔ ne aman nyinaa, a yɛn botae ne sɛ nnipa nkorɛnkorɛ ne aman nyinaa bɛkae saa Mpaemuka yi bere nyinaa, na wɔnam ɔkyerɛkyerɛ ne nhomasua so akyerɛ obu ama saa kyɛfa ne ahofadi ahorow yi, na wɔde nkakrankakra ama nnipa a wɔwɔ wɔn a wɔwɔ amannɔne ate ase, agye atom, adi so pɛpɛɛpɛ wɔ nnipa a wɔwɔ Kuw Mma no ankasa man mu, ne ɔmanfo a wɔtete wɔn nsasesin mu.
amr	00-12	Oro'enbayo aratbut kenpa'ti nogbayo huairi oro'taj on'nigpee̱po nopoe̱'dik kenpa'ti nigpee̱dik o̱'ne.
ben	00-12	জারি করছে
ben	00-13	এ ঘোষণা সকল জাতি এবং রাষ্ট্রের সাফল্যের সাধারণ মানদন্ড হিসেবে সে‌ই লক্ষ্যে নিবেদিত হবে, যেখানে প্রতিটি ব্যক্তি এবং সমাজের প্রতিটি অঙ্গ এ ঘোষণাকে সবসময় মনে রেখে পাঠদান ও শিক্ষার মাধ্যমে এ‌ই স্বাধীনতা ও অধিকার সমূহের প্রতি শ্রদ্ধাবোধ জাগ্রত করতে সচেষ্ট হবে এবং সকল সদস্য রাষ্ট্র ও তাদের অধীনস্থ ভূখণ্ডের জাতিসমূহ উত্তরোত্তর জাতীয় ও আন্তর্জাতিক প্রয়াসের মাধ্যমে এ‌ই অধিকার এবং স্বাধীনতাসমূহের সার্বজনীন ও কার্যকর স্বীকৃতি আদায় এবং যথাযথ পালন নিশ্চিত করবে।
bfa	00-12	Laŋet na jurön lomomorja i saresi kase lo peta i kwekindya na yupet i ďekesi ko ‘bulit na ŋutu i tojojo na ŋutu lyan ko wate adi se agi ködyö tindu riŋit i toďurjö i pirit na geleŋ gwiliŋit lo’but i tolien duma.
bfa	00-13	KWEJA ADI
bfa	00-14	Yeyesi na morja ti kine ďekesi ko tolien gwon ‘bulit duma ko ati denesi ti kine ŋo nagwon a yukwe kine.
bfa	00-15	SOŊlNANA NYENAGWON.
bfa	00-16	Ŋina momoret duma tokorju ŋina kweyet na toďurjö na ďekesi ti ŋutu liŋ i kak ‘bukuluŋ gwon a temet na konaki i morja liŋ i jurön liŋ tojo ko ďutet. Karen ŋutu ko karen mugun na laŋet kepekep ŋina tokoret diŋitan liŋ i kwe anyen tindu riŋit duma na todindyö ko todinet anyen todindyö kuket na kine ďekesi. Tolien ko temet na ďurjö i Iukata ko nakaŋo na jur anyen gaju gwon nase i kak ‘bukuluŋ ko anyen joŋga ďekesi ko time nase ko laŋet na kilo jurön ko ‘börik kase ako ŋutu logwon gwon kase i saresi.
bin	00-12	ETIN HIA NE O KHEKE NE EMWAN GHA MWEEN
bin	00-13	Ze vbe uhunmwun emwi kpataki ne emwan hia, ke uhunmwun evbo hia mie, vbe iyeke ona wee domwande omwan, ke domwande otu vbe uwu evbo, ghi gha ka iyen emwen oghe etin nii ye ekhoe, ne iran hia vbodekode ya gha ma emwan emwin, na mie ehe na mie wee aru alaghodaro ye emwen na hia, okade-okade, vbe uwu Uhunmwun Evbo Kevbe adese okpevbo, na mie wee iran mween atamu ayerero kevbe agbaro-koto vbe ebu emwan arrioba hia kevbe ebu emwan ne o rre ikinkin ni ne rre ototo arrioba.
boa	00-12	Aane ɨ́mɨááné tehdújuco pámeere wáájácúiyóné muhdú túkevéjtsoju néhdu meíjcyame maávyejúúlléjcatsíiyóne.
